Avanersuarmukassagaluarlungali	Avanersuaq<Terminalis-KAR-SSA=GALUAR<Ledsagemåde<jeg+LI
Avanersuarmukassavit	Avanersuaq<Terminalis-KAR-SSA<Interrogativ<du
Avanersuarmukassasut	Avanersuaq<Terminalis-KAR-SSA<Participium<de
Avanersuarmulli	Avanersuaq<Terminalis+LI
Avanersuarmununa	Avanersuaq<Terminalis+UNA
eqqaamagaluartigillu	eqqaama+GALUAR<Imperativ<ViDem+LU
eqqaamagaluarlugu	eqqaama+GALUAR<Ledsagemåde<ham
eqqaamajartorlugu	eqqaama+GIARTUR<Ledsagemåde<ham
eqqaamavaanngalu	eqqaama<Indikativ<DeMig+LU
eqqaamavaalu	eqqaama<Indikativ<HanDem+LU
eqqaamavassi	eqqaama<Indikativ<JegJer
eqqaamalaartigit	eqqaama-LAAR<Imperativ<ViDem
eqqaamalaartarlunga	eqqaama-LAAR=TAR<Ledsagemåde<mig
eqqaamalertigit	eqqaama-LIR<Imperativ<ViDem
eqqaamaniarpassilu	eqqaama+NIAR<Indikativ<JegJer+LU
eqqaamaniarlugit	eqqaama+NIAR<Ledsagemåde<dem
eqqaamananga	eqqaama-NNGIT<Ledsagemåde<mig
eqqaamasimatigit	eqqaama+SIMA<Imperativ<ViDem
eqqaamasimatigilli	eqqaama+SIMA<Imperativ<ViDem+LI
eqqaamasimaviuk	eqqaama+SIMA<Interrogativ<DuHam
eqqaamasimasartigit	eqqaama+SIMA=TAR<Imperativ<ViDem
eqqaamasimasartigillu	eqqaama+SIMA=TAR<Imperativ<ViDem+LU
eqqaamasimasarluguli	eqqaama+SIMA=TAR<Ledsagemåde<ham+LI
eqqaamasinnaavaallu	eqqaama+SINNAA<Indikativ<DeDem+LU
eqqaamasaraluarlugit	eqqaama+TAR=GALUAR<Ledsagemåde<dem
eqqaamasarpiuk	eqqaama+TAR<Interrogativ<DuHam
eqqaamasarlungalu	eqqaama+TAR<Ledsagemåde<mig+LU
eqqaq	eqqaq<ental<Absolut
eqqarli	eqqaq<ental<Absolut+LI
eqqaminguna	eqqaq<ental<Instrumentalis+UNA
eqqara	eqqaq<ental<min<Absolut
eqqaa	eqqaq<flertal<hans<Absolut
eqqaniippungali	eqqaq<flertal<Lokalis+IP<Indikativ<jeg+LI
eqqakka	eqqaq<flertal<min<Absolut
eqqaritiginuna	eqqaq+GӘ<Imperativ<ViDem+UNA
eqqarisimatiginuna	eqqaq+GӘ+SIMA<Imperativ<ViDem+UNA
eqqarisimasarpakkali	eqqaq+GӘ+SIMA=TAR<Indikativ<JegDem+LI
eqqarisinnaatigilli	eqqaq+GӘ+SINNAA<Imperativ<ViDem+LI
eqqarisinnaavassi	eqqaq+GӘ+SINNAA<Indikativ<JegJer
eqqaannaq	eqqaq-INNAQ<ental<Absolut
eqqaannalerilluni	eqqaq-INNAQ-LIRI<Ledsagemåde<han_selv
eqqaannalerisaraluarnera	eqqaq-INNAQ-LIRI+TAR=GALUAR+NIQ<ental<hans<Absolut
eqqaannaqarlunilu	eqqaq-INNAQ-QAR<Ledsagemåde<han_selv+LU
eqqalimmullu	eqqaq-LIK<ental<Terminalis+LU
eqqallilli	eqqaq-LIK<flertal<Absolut+LI
eqqallit	eqqaq-LIK<flertal<Relativ
eqqalerivoq	eqqaq-LIRI<Indikativ<han
eqqalerisimasarnikka	eqqaq-LIRI+SIMA=TAR+NIQ<flertal<min<Absolut
eqqalerissagaluartulli	eqqaq-LIRI-SSA=GALUAR<Participium<de+LI
eqqalerisaraluarnikka	eqqaq-LIRI+TAR=GALUAR+NIQ<flertal<min<Absolut
eqqarmiumik	eqqaq+MIU<ental<Instrumentalis
eqqarmiumiilaartunga	eqqaq+MIU<ental<Lokalis+IP-LAAR<Participium<jeg
eqqarmiumut	eqqaq+MIU<ental<Terminalis
eqqarmiuniilaarneq	eqqaq+MIU<flertal<Lokalis+IP-LAAR+NIQ
eqqarmiuniuna	eqqaq+MIU<flertal<Lokalis+UNA
eqqarmiulerisimasarnikkaana	eqqaq+MIU-LIRI+SIMA=TAR+NIQ<flertal<min<Absolut+UNA
eqqarmioqarneq	eqqaq+MIU-QAR+NIQ<ental<Absolut
eqqarmioqarnerlu	eqqaq+MIU-QAR+NIQ<ental<Absolut+LU
eqqarmioqartorli	eqqaq+MIU-QAR<Participium<han+LI
eqqarmiuulaarlutillu	eqqaq+MIU-U-LAAR<Ledsagemåde<de_selv+LU
eqqarmiuulaartartuliili	eqqaq+MIU-U-LAAR=TAR+TUQ-LIK<flertal<hans<Absolut+LI
eqqarmiuulluni	eqqaq+MIU-U<Ledsagemåde<han_selv
eqqarmiuuniarnatilli	eqqaq+MIU-U+NIAR=NNGIT<Ledsagemåde<de_selv+LI
eqqarmiuuniarnanilu	eqqaq+MIU-U+NIAR=NNGIT<Ledsagemåde<han_selv+LU
eqqarmiuusaraluartungaana	eqqaq+MIU-U+TAR=GALUAR<Participium<jeg+UNA
eqqarmiuusaraluartoqassagaluartunngussaangali	eqqaq+MIU-U+TAR=GALUAR+TUQ-QAR-SSA=GALUAR+TUQ-NNGUR-SSA<Indikativ<jeg+LI
eqqanngua	eqqaq-NNGUAQ<ental<hans<Absolut
eqqanngui	eqqaq-NNGUAQ<flertal<hans<Absolut
eqqanngualerisimasarpisi	eqqaq-NNGUAQ-LIRI+SIMA=TAR<Interrogativ<I
eqqanngualerisarlutillu	eqqaq-NNGUAQ-LIRI+TAR<Ledsagemåde<de_selv+LU
eqqanngoraluartorli	eqqaq-NNGUR+GALUAR<Participium<han+LI
eqqanngornernukassalluni	eqqaq-NNGUR+NIQ<flertal<Terminalis-KAR-SSA<Ledsagemåde<han_selv
eqqanngornani	eqqaq-NNGUR-NNGIT<Ledsagemåde<han_selv
eqqanngortarneralli	eqqaq-NNGUR+TAR+NIQ<ental<deres+LI
eqqarpassuilli	eqqaq+PASSUAQ<flertal<Absolut+LI
eqqarpassuakka	eqqaq+PASSUAQ<flertal<min<Absolut
eqqarpassuakkaana	eqqaq+PASSUAQ<flertal<min<Absolut+UNA
eqqaqalertoqartaraluarnertununa	eqqaq-QAR-LIR+TUQ-QAR+TAR=GALUAR+NIQ<ental<Aequalis+UNA
eqqaqassavisi	eqqaq-QAR-SSA<Interrogativ<I
eqqaajartortunga	eqqaq-U+GIARTUR<Participium<jeg
eqqaaneralli	eqqaq-U+NIQ<ental<deres+LI
eqqaanangali	eqqaq-U-NNGIT<Ledsagemåde<jeg+LI
eqqaasaraluarpullu	eqqaq-U+TAR=GALUAR<Indikativ<de+LU
eqqaasarnikka	eqqaq-U+TAR+NIQ<flertal<min<Absolut
eqqumiitsuliortoq	eqqumiitsuliortoq<ental<Absolut
eqqumiitsuliortumi	eqqumiitsuliortoq<ental<Lokalis
eqqumiitsuliortumiilaartoq	eqqumiitsuliortoq<ental<Lokalis+IP-LAAR<Participium<han
