Avanersuarmiuna	Avanersuaq<Lokalis+UNA
Avanersuarmiumeereerlutik	Avanersuaq+MIU<ental<Lokalis+IP-RIIR<Ledsagemåde<de_selv
Avanersuarmiuniilaarpugullu	Avanersuaq+MIU<flertal<Lokalis+IP-LAAR<Indikativ<vi+LU
Avanersuarmiunili	Avanersuaq+MIU<flertal<Lokalis+LI
Avanersuarmiulerigamalu	Avanersuaq+MIU-LIRI<Causativ<jeg+LU
Avanersuarmiulerivit	Avanersuaq+MIU-LIRI<Interrogativ<du
Avanersuarmiulerisununa	Avanersuaq+MIU-LIRI<Participium<de+UNA
Avanersuarmioqarneq	Avanersuaq+MIU-QAR+NIQ
Avanersuarmioqarnerli	Avanersuaq+MIU-QAR+NIQ+LI
Avanersuarmioqartoq	Avanersuaq+MIU-QAR<Participium<han
Avanersuarmioqartorli	Avanersuaq+MIU-QAR<Participium<han+LI
Avanersuarmioqartoq	Avanersuaq+MIU-QAR+TUQ
Avanersuarmioqartorli	Avanersuaq+MIU-QAR+TUQ+LI
Avanersuarmioqartorlu	Avanersuaq+MIU-QAR+TUQ+LU
Avanersuarmiooriarama	Avanersuaq+MIU-U-RIAR<Causativ<jeg
Avanersuarmut	Avanersuaq<Terminalis
Avanersuarmukarpoq	Avanersuaq<Terminalis-KAR<Indikativ<han
Avanersuarmukaannarpugununa	Avanersuaq<Terminalis-KAR-INNAR<Indikativ<vi+UNA
Avanersuarmukaannarpit	Avanersuaq<Terminalis-KAR-INNAR<Interrogativ<du
Avanersuarmukalaartut	Avanersuaq<Terminalis-KAR-LAAR<Participium<de
Avanersuarmukalerpit	Avanersuaq<Terminalis-KAR-LIR<Interrogativ<du
Avanersuarmukareertungali	Avanersuaq<Terminalis-KAR-RIIR<Participium<jeg+LI
Avanersuarmukassagaluartunga	Avanersuaq<Terminalis-KAR-SSA=GALUAR<Participium<jeg
Avanersuarmulli	Avanersuaq<Terminalis+LI
Avanersuarmullu	Avanersuaq<Terminalis+LU
eqqaamagaluartigit	eqqaama+GALUAR<Imperativ<ViDem
eqqaamatigit	eqqaama<Imperativ<ViDem
eqqaamatiginuna	eqqaama<Imperativ<ViDem+UNA
eqqaamavaat	eqqaama<Indikativ<DeHam
eqqaamavagullu	eqqaama<Indikativ<ViDem+LU
eqqaamaannartigillu	eqqaama-INNAR<Imperativ<ViDem+LU
eqqaamalaarlugillu	eqqaama-LAAR<Ledsagemåde<dem+LU
eqqaamalaarluguli	eqqaama-LAAR<Ledsagemåde<ham+LI
eqqaamalaartartigilli	eqqaama-LAAR=TAR<Imperativ<ViDem+LI
eqqaamaniarmanga	eqqaama+NIAR<Causativ<HanMig
eqqaamaniannginnakku	eqqaama+NIAR=NNGIT<Causativ<JegHam
eqqaamanikuutiginuna	eqqaama+NIKUU<Imperativ<ViDem+UNA
eqqaamaneqarama	eqqaama+NIQAR<Causativ<jeg
eqqaamaneqarnerni	eqqaama+NIQAR+NIQ<flertal<Lokalis
eqqaamanermangaana	eqqaama+NIR<Causativ<HanMig+UNA
eqqaamanerakkuli	eqqaama+NIR<Causativ<JegHam+LI
eqqaamanerlugit	eqqaama+NIR<Ledsagemåde<dem
eqqaamanerutigit	eqqaama+NIRU<Imperativ<ViDem
eqqaamaneruaanga	eqqaama+NIRU<Indikativ<HanMig
eqqaamaneruara	eqqaama+NIRU<Indikativ<JegHam
eqqaamanagulu	eqqaama-NNGIT<Ledsagemåde<ham+LU
eqqaamaqqaarpaanga	eqqaama-QQAAR<Indikativ<HanMig
eqqaamaqquiuk	eqqaama-QQU<Interrogativ<du-dem
eqqaamariarakku	eqqaama-RIAR<Causativ<JegHam
eqqaamareermanga	eqqaama-RIIR<Causativ<HanMig
eqqaamasinnaavaallu	eqqaama+SINNAA<Indikativ<DeHam+LU
eqqaamasinnaavaanuna	eqqaama+SINNAA<Indikativ<DeHam+UNA
eqqaamasinnaallugu	eqqaama+SINNAA<Ledsagemåde<ham
eqqaamassagakkuli	eqqaama-SSA<Causativ<JegHam+LI
eqqaamassagaluartigit	eqqaama-SSA=GALUAR<Imperativ<ViDem
eqqaamassagaluarluguli	eqqaama-SSA=GALUAR<Ledsagemåde<ham+LI
eqqaamavallaarlugillu	eqqaama+VALLAAR<Ledsagemåde<dem+LU
eqqaamavallaanngimmangali	eqqaama+VALLAAR=NNGIT<Causativ<HanMig+LI
eqqaa	eqqaq<ental<hans<Absolut
eqqaali	eqqaq<ental<hans<Absolut+LI
eqqaani	eqqaq<ental<Lokalis<hans
eqqaaniilaarlutillu	eqqaq<ental<Lokalis<hans+IP-LAAR<Ledsagemåde<de_selv+LU
eqqaaniillutik	eqqaq<ental<Lokalis<hans+IP<Ledsagemåde<de_selv
eqqaaneeqqutiginuna	eqqaq<ental<Lokalis<hans+IP-QQU<Imperativ<ViDem+UNA
eqqaaneereertoq	eqqaq<ental<Lokalis<hans+IP-RIIR<Participium<han
eqqaaniuna	eqqaq<ental<Lokalis<hans+UNA
eqqara	eqqaq<ental<min<Absolut
eqqarali	eqqaq<ental<min<Absolut+LI
eqqaralu	eqqaq<ental<min<Absolut+LU
eqqaraana	eqqaq<ental<min<Absolut+UNA
eqqama	eqqaq<ental<min>Relativ
eqqamalu	eqqaq<ental<min>Relativ+LU
eqqani	eqqaq<ental<sin<Absolut
eqqanili	eqqaq<ental<sin<Absolut+LI
eqqaanukalerpungaana	eqqaq<ental<Terminalis<hans-KAR-LIR<Indikativ<jeg+UNA
eqqaanullu	eqqaq<ental<Terminalis<hans+LU
eqqannguaneereernerlu	eqqaq-NNGUAQ<ental<hans<Lokalis+IP-RIIR+NIQ+LU
eqqannguanili	eqqaq-NNGUAQ<ental<hans<Lokalis+LI
eqqanngui	eqqaq-NNGUAQ<flertal<hans<Absolut
eqqannguili	eqqaq-NNGUAQ<flertal<hans<Absolut+LI
eqqanngualerillutik	eqqaq-NNGUAQ-LIRI<Ledsagemåde<de_selv
eqqannguunerama	eqqaq-NNGUAQ-U+NIR<Causativ<jeg
eqqanngooqqaarninilu	eqqaq-NNGUAQ-U-QQAAR+NIQ<ental<sin<Absolut+LU
eqqanngooqqaartunga	eqqaq-NNGUAQ-U-QQAAR<Participium<jeg
eqqanngooqqaartoqalaartartooqqaartunngussasunga	eqqaq-NNGUAQ-U-QQAAR+TUQ-QAR-LAAR=TAR+TUQ-U-QQAAR+TUQ-NNGUR-SSA<Participium<jeg
eqqanngooqqutiginuna	eqqaq-NNGUAQ-U-QQU<Imperativ<ViDem+UNA
eqqanngooqqullugilli	eqqaq-NNGUAQ-U-QQU<Ledsagemåde<dem+LI
eqqanngooriaramali	eqqaq-NNGUAQ-U-RIAR<Causativ<jeg+LI
eqqanngooriarluni	eqqaq-NNGUAQ-U-RIAR<Ledsagemåde<han_selv
eqqanngooriarlunilu	eqqaq-NNGUAQ-U-RIAR<Ledsagemåde<han_selv+LU
eqqanngooriarlungaana	eqqaq-NNGUAQ-U-RIAR<Ledsagemåde<jeg+UNA
eqqannguusinnaavit	eqqaq-NNGUAQ-U+SINNAA<Interrogativ<du
eqqannguusaraluarnini	eqqaq-NNGUAQ-U+TAR=GALUAR+NIQ<ental<sin<Absolut
eqqannguusunngooriarluniuna	eqqaq-NNGUAQ-U+TUQ-NNGUAQ-U-RIAR<Ledsagemåde<han_selv+UNA
eqqumiitsuliortoq	eqqumiitsuliortoq<ental<Absolut
eqqumiitsuliortorli	eqqumiitsuliortoq<ental<Absolut+LI
eqqumiitsuliortualu	eqqumiitsuliortoq<ental<hans<Absolut+LU
eqqumiitsuliortora	eqqumiitsuliortoq<ental<min<Absolut
eqqumiitsuliortorali	eqqumiitsuliortoq<ental<min<Absolut+LI
eqqumiitsuliortuma	eqqumiitsuliortoq<ental<min>Relativ
eqqumiitsuliortuni	eqqumiitsuliortoq<ental<sin<Absolut
eqqumiitsuliortunik	eqqumiitsuliortoq<flertal<Instrumentalis
eqqumiitsuliortunillu	eqqumiitsuliortoq<flertal<Instrumentalis+LU
eqqumiitsuliortuneeqqaarama	eqqumiitsuliortoq<flertal<Lokalis+IP-QQAAR<Causativ<jeg
eqqumiitsuliortuneeqqaarpugununa	eqqumiitsuliortoq<flertal<Lokalis+IP-QQAAR<Indikativ<vi+UNA
eqqumiitsuliortukka	eqqumiitsuliortoq<flertal<min<Absolut
eqqumiitsuliortoriinngoqqaartulerivit	eqqumiitsuliortoq+GIIT-NNGUR-QQAAR+TUQ-LIRI<Interrogativ<du
eqqumiitsuliortorissagaluartigit	eqqumiitsuliortoq+GӘ-SSA=GALUAR<Imperativ<ViDem
eqqumiitsuliortorissatigit	eqqumiitsuliortoq+GӘ-SSA<Imperativ<ViDem
eqqumiitsuliortuinnakka	eqqumiitsuliortoq-INNAQ<flertal<min<Absolut
