aallalaartarpit	aallar-LAAR=TAR<Interrogativ<du
Avanersuakkulli	Avanersuaq<Vialis+LI
Avanersuakkullu	Avanersuaq<Vialis+LU
Avanersuakkununa	Avanersuaq<Vialis+UNA
avimmata	avip<Causativ<de
avikkatta	avip<Causativ<vi
avilaartarpugut	avip-LAAR=TAR<Indikativ<vi
avilluarpugununa	avip+LUAR<Indikativ<vi+UNA
aveqqaaratta	avip-QQAAR<Causativ<vi
aveqqaartut	avip-QQAAR<Participium<de
aveqqaartullu	avip-QQAAR<Participium<de+LU
aveqqutigilli	avip-QQU<Imperativ<ViDem+LI
aveqquiuk	avip-QQU<Interrogativ<DuHam
avereerlutik	avip-RIIR<Ledsagemåde<de_selv
avereerninili	avip-RIIR+NIQ<ental<sin<Absolut+LI
avittaraluarlutillu	avip+TAR=GALUAR<Ledsagemåde<de_selv+LU
avippallaartuinnalereriarpit	avip+VALLAAR+TUQ-INNAQ-LIRI-RIAR<Interrogativ<du
eqqaamajartortigit	eqqaama+GIARTUR<Imperativ<ViDem
eqqaamarusutsiginuna	eqqaama+GUSUP<Imperativ<ViDem+UNA
eqqaamarusullarali	eqqaama+GUSUP<Optativ<JegHam+LI
eqqaamatigillu	eqqaama<Imperativ<ViDem+LU
eqqaamavaat	eqqaama<Indikativ<DeHam
eqqaamavaajuna	eqqaama<Indikativ<HanDem+UNA
eqqaamaannartigillu	eqqaama-INNAR<Imperativ<ViDem+LU
eqqaamalaarpiuk	eqqaama-LAAR<Interrogativ<DuHam
eqqaamallugulu	eqqaama<Ledsagemåde<ham+LU
eqqaamaniarpiuk	eqqaama+NIAR<Interrogativ<DuHam
eqqaamaniarnagu	eqqaama+NIAR=NNGIT<Ledsagemåde<ham
eqqaamanikuullugit	eqqaama+NIKUU<Ledsagemåde<dem
eqqaamanerlugillu	eqqaama+NIR<Ledsagemåde<dem+LU
eqqaamaneruakkaana	eqqaama+NIRU<Indikativ<JegDem+UNA
eqqaamanngilaalu	eqqaama-NNGIT<Indikativ<HanHam+LU
eqqaamasimatigillu	eqqaama+SIMA<Imperativ<ViDem+LU
