aallalaartarpit	aallar-LAAR=TAR<Interrogativ<du
Ilulissaneeqqulara	Ilulissat<Lokalis+IP-QQU<Optativ<JegHam
Iluliarmiumik	Ilulissat+MIU<ental<Instrumentalis
Iluliarmiuniuna	Ilulissat+MIU<flertal<Lokalis+UNA
Iluliarmioqarpoq	Ilulissat+MIU-QAR<Indikativ<han
Iluliarmioqarporli	Ilulissat+MIU-QAR<Indikativ<han+LI
Iluliarmioqarporlu	Ilulissat+MIU-QAR<Indikativ<han+LU
Iluliarmioqarnerlu	Ilulissat+MIU-QAR+NIQ+LU
Iluliarmioqartoq	Ilulissat+MIU-QAR+TUQ
Iluliarmiuugaluarmata	Ilulissat+MIU-U+GALUAR<Causativ<de
Iluliarmiuunianngilagut	Ilulissat+MIU-U+NIAR=NNGIT<Indikativ<vi
Iluliarmiooqqaarmata	Ilulissat+MIU-U-QQAAR<Causativ<de
Iluliarmiuusarlutinguna	Ilulissat+MIU-U+TAR<Ledsagemåde<de_selv+UNA
Iluliarmiuusarnerilli	Ilulissat+MIU-U+TAR+NIQ<flertal<Absolut+LI
Ilulissanukalaartartoq	Ilulissat<Terminalis-KAR-LAAR=TAR+TUQ
Ilulissanukartartoq	Ilulissat<Terminalis-KAR+TAR+TUQ
Ilulissanununa	Ilulissat<Terminalis+UNA
imaalluarpugulli	imaap+LUAR<Indikativ<vi+LI
imaannermulli	imaap+NIQ<ental<Terminalis+LI
imaattarlutillu	imaap+TAR<Ledsagemåde<de_selv+LU
imatullu	imatut<Partikel+LU
imatununa	imatut<Partikel+UNA
imiinnarattalu	imer-INNAR<Causativ<vi+LU
imiinnarpoq	imer-INNAR<Indikativ<han
imiinnarpit	imer-INNAR<Interrogativ<du
imiinnartungali	imer-INNAR<Participium<jeg+LI
imiinnartoqarsinnaavunga	imer-INNAR+TUQ-QAR+SINNAA<Indikativ<jeg
imilaarpugununa	imer-LAAR<Indikativ<vi+UNA
imilaartarpit	imer-LAAR=TAR<Interrogativ<du
imilaartarlutilli	imer-LAAR=TAR<Ledsagemåde<de_selv+LI
imerluarnerneeqqaaratta	imer+LUAR+NIQ<flertal<Lokalis+IP-QQAAR<Causativ<vi
iminnginnatta	imer-NNGIT<Causativ<vi
imertorli	imer<Participium<han+LI
imeqqaarnini	imer-QQAAR+NIQ<ental<sin<Absolut
imeqquassi	imer-QQU<Indikativ<JegJer
imeqqulara	imer-QQU<Optativ<JegHam
imeqqularali	imer-QQU<Optativ<JegHam+LI
imeriarpit	imer-RIAR<Interrogativ<du
imereermatali	imer-RIIR<Causativ<de+LI
imissallutik	imer-SSA<Ledsagemåde<de_selv
imertarninilu	imer+TAR+NIQ<ental<sin<Absolut+LU
imivittulereqquiuk	imer-VIP+TUQ-LIRI-QQU<Interrogativ<DuHam
immaqa	immaqa<Partikel
immikkut	immikkut<Partikel
immiussilaartunngoorusunnini	immiussi-LAAR+TUQ-NNGUAQ-U+GUSUP+NIQ<ental<sin<Absolut
immiussissallutik	immiussi-SSA<Ledsagemåde<de_selv
inersimasoq	inersimasoq<ental<Absolut
inersimasunik	inersimasoq<flertal<Instrumentalis
inersimasunilli	inersimasoq<flertal<Instrumentalis+LI
inersimasuinnaat	inersimasoq-INNAQ<flertal<Relativ
inersimasukkununa	inersimasoq-KKUT<flertal<Absolut+UNA
inersimasukkunninguna	inersimasoq-KKUT<flertal<Instrumentalis+UNA
inersimasunngussaaq	inersimasoq-NNGUR-SSA<Indikativ<han
inersimasorpassui	inersimasoq+PASSUAQ<flertal<hans<Absolut
inersimasorsiunngitsorlu	inersimasoq+SIUR-NNGIT+TUQ+LU
inersimasussakkaana	inersimasoq-SSAQ<flertal<min<Absolut+UNA
inersimasortaarpoq	inersimasoq+TAAR<Indikativ<han
inersimasooqqugakku	inersimasoq-U-QQU<Causativ<JegHam
ingerlagattalu	ingerla<Causativ<vi+LU
ingerlalernini	ingerla-LIR+NIQ<ental<sin<Absolut
ingerlalertuinnaqanngilatit	ingerla-LIR+TUQ-INNAQ-QAR-NNGIT<Interrogativ<du
ingerlanikuuvorlu	ingerla+NIKUU<Indikativ<han+LU
ingerlaneruninili	ingerla+NIRU+NIQ<ental<sin<Absolut+LI
ingerlassagattali	ingerla-SSA<Causativ<vi+LI
inulli	inuk<ental<Absolut+LI
inunguna	inuk<ental<Absolut+UNA
inummik	inuk<ental<Instrumentalis
inummeeqqaarama	inuk<ental<Lokalis+IP-QQAAR<Causativ<jeg
inuppassui	inuk+PASSUAQ<flertal<hans<Absolut
inuppassuakkali	inuk+PASSUAQ<flertal<min<Absolut+LI
inoqaannarnerli	inuk-QAR-INNAR+NIQ+LI
inoqalaartoruna	inuk-QAR-LAAR+TUQ+UNA
inoqalernerli	inuk-QAR-LIR+NIQ+LI
inoqalertoruna	inuk-QAR-LIR+TUQ+UNA
inooqqullugit	inuk-U-QQU<Ledsagemåde<dem
inunnguinnartununa	inunngor-INNAR<Participium<de+UNA
inunngulaartarlutik	inunngor-LAAR=TAR<Ledsagemåde<de_selv
inoorusummat	inuu+GUSUP<Causativ<han
inoorusummallu	inuu+GUSUP<Causativ<han+LU
inooriarpunga	inuu-RIAR<Indikativ<jeg
inooreerpit	inuu-RIIR<Interrogativ<du
isumamalu	isuma<ental<min>Relativ+LU
isumaali	isuma<flertal<hans<Absolut+LI
isumaauna	isuma<flertal<hans<Absolut+UNA
isumanik	isuma<flertal<Instrumentalis
isumani	isuma<flertal<Lokalis
isumakkali	isuma<flertal<min<Absolut+LI
isumama	isuma<flertal<min>Relativ
isumagiilerivallaanngilatit	isuma+GIIT-LIRI+VALLAAR=NNGIT<Interrogativ<du
isumagiinnguinnaratta	isuma+GIIT-NNGUR-INNAR<Causativ<vi
isumagiinngoqqaarmataana	isuma+GIIT-NNGUR-QQAAR<Causativ<de+UNA
isumagivikkakku	isuma+GӘ-VIP<Causativ<JegHam
isumaannanngulaarlutinguna	isuma-INNAQ-NNGUR-LAAR<Ledsagemåde<de_selv+UNA
isumaannanngoqqaartunga	isuma-INNAQ-NNGUR-QQAAR<Participium<jeg
isumaannaqassagaluarlutik	isuma-INNAQ-QAR-SSA=GALUAR<Ledsagemåde<de_selv
isumakkui	isuma-KKUT<flertal<hans<Absolut
isumallit	isuma-LIK<flertal<Absolut
isumallillu	isuma-LIK<flertal<Absolut+LU
isumalilerereertunga	isuma-LIK-LIRI-RIIR<Participium<jeg
isumaleriniarnini	isuma-LIRI+NIAR+NIQ<ental<sin<Absolut
isumalereqqaarnerilli	isuma-LIRI-QQAAR+NIQ<flertal<Absolut+LI
isumamiooreermata	isuma+MIU-U-RIIR<Causativ<de
isumanngooqqaartoqavimmalli	isuma-NNGUAQ-U-QQAAR+TUQ-QAR-VIP<Causativ<han+LI
isumanngulaartarpungalu	isuma-NNGUR-LAAR=TAR<Indikativ<jeg+LU
isumanngoqqaartunga	isuma-NNGUR-QQAAR<Participium<jeg
isumarpassuilli	isuma+PASSUAQ<flertal<Absolut+LI
isumarpassuakka	isuma+PASSUAQ<flertal<min<Absolut
isumaqarnatinguna	isumaqar-NNGIT<Ledsagemåde<de_selv+UNA
isumasiorluartunga	isuma+SIUR+LUAR<Participium<jeg
isumasiuinnerallu	isuma+SIUR-VIP+NIQ<ental<deres+LU
isumassatulli	isuma-SSAQ<ental<Aequalis+LI
isumassalerillutilli	isuma-SSAQ-LIRI<Ledsagemåde<de_selv+LI
isumataassasut	isuma+TAAR-SSA<Participium<de
isumataavimmata	isuma+TAAR-VIP<Causativ<de
Ivittuut	Ivittuut<Absolut
Ivittuulli	Ivittuut<Absolut+LI
Ivittuullu	Ivittuut<Absolut+LU
Ivittuununa	Ivittuut<Absolut+UNA
Ivittuunik	Ivittuut<Instrumentalis
Ivittuunilli	Ivittuut<Instrumentalis+LI
Ivittuunillu	Ivittuut<Instrumentalis+LU
Ivittuuni	Ivittuut<Lokalis
Ivittuuniilluarlutik	Ivittuut<Lokalis+IP+LUAR<Ledsagemåde<de_selv
Ivittuuneeqqaarnerli	Ivittuut<Lokalis+IP-QQAAR+NIQ+LI
Ivittuuneeqquassilu	Ivittuut<Lokalis+IP-QQU<Indikativ<JegJer+LU
Ivittuuneeriarlutik	Ivittuut<Lokalis+IP-RIAR<Ledsagemåde<de_selv
Ivittuuneereerpit	Ivittuut<Lokalis+IP-RIIR<Interrogativ<du
Ivittuuneereerlutik	Ivittuut<Lokalis+IP-RIIR<Ledsagemåde<de_selv
Ivittuuneereerlutilli	Ivittuut<Lokalis+IP-RIIR<Ledsagemåde<de_selv+LI
Ivittuuniissimasunga	Ivittuut<Lokalis+IP+SIMA<Participium<jeg
Ivittuunili	Ivittuut<Lokalis+LI
Ivittuunilu	Ivittuut<Lokalis+LU
Ivittuuniuna	Ivittuut<Lokalis+UNA
Ivittoormiumullu	Ivittuut+MIU<ental<Terminalis+LU
Ivittoormiumununa	Ivittuut+MIU<ental<Terminalis+UNA
Ivittoormiunik	Ivittuut+MIU<flertal<Instrumentalis
Ivittoormiuniilaartartoqarporuna	Ivittuut+MIU<flertal<Lokalis+IP-LAAR=TAR+TUQ-QAR<Indikativ<han+UNA
Ivittoormiuneeqqularaana	Ivittuut+MIU<flertal<Lokalis+IP-QQU<Optativ<JegHam+UNA
Ivittoormiulerivit	Ivittuut+MIU-LIRI<Interrogativ<du
Ivittoormiulereriarattali	Ivittuut+MIU-LIRI-RIAR<Causativ<vi+LI
Ivittoormiulerisinnaanernukassagaluarnerli	Ivittuut+MIU-LIRI+SINNAA+NIQ<flertal<Terminalis-KAR-SSA=GALUAR+NIQ+LI
Ivittoormiulerisaraluarpit	Ivittuut+MIU-LIRI+TAR=GALUAR<Interrogativ<du
Ivittoormiunngoqqaarpungalu	Ivittuut+MIU-NNGUR-QQAAR<Indikativ<jeg+LU
Ivittoormiunngussagaluarniniuna	Ivittuut+MIU-NNGUR-SSA=GALUAR+NIQ<ental<sin<Absolut+UNA
Ivittoormioqarneq	Ivittuut+MIU-QAR+NIQ
Ivittoormioqarneruna	Ivittuut+MIU-QAR+NIQ+UNA
Ivittoormioqartorli	Ivittuut+MIU-QAR<Participium<han+LI
Ivittoormioqartoq	Ivittuut+MIU-QAR+TUQ
Ivittoormioqartorlu	Ivittuut+MIU-QAR+TUQ+LU
Ivittoormiuugamali	Ivittuut+MIU-U<Causativ<jeg+LI
Ivittoormiuujunnaartuinnaaniartut	Ivittuut+MIU-U+GUNNAAR+TUQ-INNAQ-U+NIAR<Participium<de
Ivittoormioorusummat	Ivittuut+MIU-U+GUSUP<Causativ<han
Ivittoormioorusummanuna	Ivittuut+MIU-U+GUSUP<Causativ<han+UNA
Ivittoormioorusuppulli	Ivittuut+MIU-U+GUSUP<Indikativ<de+LI
Ivittoormiuupput	Ivittuut+MIU-U<Indikativ<de
Ivittoormiuulaarlutilli	Ivittuut+MIU-U-LAAR<Ledsagemåde<de_selv+LI
Ivittoormiuunikuuniniuna	Ivittuut+MIU-U+NIKUU+NIQ<ental<sin<Absolut+UNA
Ivittoormiuunera	Ivittuut+MIU-U+NIQ<ental<hans<Absolut
Ivittoormiuunernera	Ivittuut+MIU-U+NIR+NIQ<ental<hans<Absolut
Ivittoormiooqqaarpit	Ivittuut+MIU-U-QQAAR<Interrogativ<du
Ivittoormiooriarama	Ivittuut+MIU-U-RIAR<Causativ<jeg
Ivittoormiooriarnerit	Ivittuut+MIU-U-RIAR+NIQ<flertal<Relativ
Ivittoormiooriartunga	Ivittuut+MIU-U-RIAR<Participium<jeg
Ivittoormiooreertuma	Ivittuut+MIU-U-RIIR+TUQ<flertal<min>Relativ
Ivittoormiuusinnaavit	Ivittuut+MIU-U+SINNAA<Interrogativ<du
Ivittoormiuuallaanngitsoq	Ivittuut+MIU-U+VALLAAR=NNGIT<Participium<han
Ivittoormiuuippulli	Ivittuut+MIU-U-VIP<Indikativ<de+LI
Ivittuunukaqqulara	Ivittuut<Terminalis-KAR-QQU<Optativ<JegHam
Ivittuunukareerpit	Ivittuut<Terminalis-KAR-RIIR<Interrogativ<du
Ivittuunukareertoqarpoq	Ivittuut<Terminalis-KAR-RIIR+TUQ-QAR<Indikativ<han
Ivittuunukassallutik	Ivittuut<Terminalis-KAR-SSA<Ledsagemåde<de_selv
Ivittuunulli	Ivittuut<Terminalis+LI
Ivittuunullu	Ivittuut<Terminalis+LU
Ivittuunununa	Ivittuut<Terminalis+UNA
kalaaleq	kalaaleq<ental<Absolut
kalaallimik	kalaaleq<ental<Instrumentalis
kalaallimillu	kalaaleq<ental<Instrumentalis+LU
kalaallimi	kalaaleq<ental<Lokalis
kalaallimiinnerullutik	kalaaleq<ental<Lokalis+IP+NIRU<Ledsagemåde<de_selv
kalaallimeeqqutigilli	kalaaleq<ental<Lokalis+IP-QQU<Imperativ<ViDem+LI
kalaallimeereernerli	kalaaleq<ental<Lokalis+IP-RIIR+NIQ+LI
kalaallikkulli	kalaaleq<ental<Vialis+LI
kalaallikkununa	kalaaleq<ental<Vialis+UNA
kalaallinik	kalaaleq<flertal<Instrumentalis
kalaallininguna	kalaaleq<flertal<Instrumentalis+UNA
kalaaliinnalererusuppit	kalaaleq-INNAQ-LIRI+GUSUP<Interrogativ<du
kalaalillilli	kalaaleq-LIK<flertal<Relativ+LI
kalaalinnguunertut	kalaaleq-NNGUAQ-U+NIR<Participium<de
kalaalinngorniannginneranuna	kalaaleq-NNGUR+NIAR=NNGIT+NIQ<ental<deres+UNA
kalaaleqalaartartoq	kalaaleq-QAR-LAAR=TAR<Participium<han
kalaaleqaqqutigilli	kalaaleq-QAR-QQU<Imperativ<ViDem+LI
kalaaleqassagaluarneq	kalaaleq-QAR-SSA=GALUAR+NIQ
kalaaleqassagaluartoq	kalaaleq-QAR-SSA=GALUAR<Participium<han
kalaalissaaqqullugu	kalaaleq-SSAQ-U-QQU<Ledsagemåde<ham
kalaalertaalaartarlutillu	kalaaleq+TAAR-LAAR=TAR<Ledsagemåde<de_selv+LU
kalaaliorusullutilli	kalaaleq-U+GUSUP<Ledsagemåde<de_selv+LI
kalaalioqqaarnerma	kalaaleq-U-QQAAR+NIQ<ental<min>Relativ
kalaallisulli	kalaallisut<Partikel+LI
kalaallisullu	kalaallisut<Partikel+LU
kalaallisununa	kalaallisut<Partikel+UNA
Kangaatsiaq	Kangaatsiaq<Absolut
Kangaatsiarli	Kangaatsiaq<Absolut+LI
Kangaatsiarlu	Kangaatsiaq<Absolut+LU
Kangaatsiaruna	Kangaatsiaq<Absolut+UNA
Kangaatsiamik	Kangaatsiaq<Instrumentalis
Kangaatsiamilli	Kangaatsiaq<Instrumentalis+LI
Kangaatsiaminguna	Kangaatsiaq<Instrumentalis+UNA
Kangaatsiami	Kangaatsiaq<Lokalis
Kangaatsiameeqqaarlutillu	Kangaatsiaq<Lokalis+IP-QQAAR<Ledsagemåde<de_selv+LU
Kangaatsiameeqqaartoq	Kangaatsiaq<Lokalis+IP-QQAAR+TUQ
Kangaatsiameereerpit	Kangaatsiaq<Lokalis+IP-RIIR<Interrogativ<du
Kangaatsiamiissimasulli	Kangaatsiaq<Lokalis+IP+SIMA<Participium<de+LI
Kangaatsiamilu	Kangaatsiaq<Lokalis+LU
Kangaatsiarmiumik	Kangaatsiaq+MIU<ental<Instrumentalis
Kangaatsiarmiunilli	Kangaatsiaq+MIU<flertal<Instrumentalis+LI
Kangaatsiarmiuniiginnarneq	Kangaatsiaq+MIU<flertal<Lokalis+IP-INNAR+NIQ
Kangaatsiarmiuneereerpunga	Kangaatsiaq+MIU<flertal<Lokalis+IP-RIIR<Indikativ<jeg
Kangaatsiarmiunngornatik	Kangaatsiaq+MIU-NNGUR-NNGIT<Ledsagemåde<de_selv
Kangaatsiarmioqarpoq	Kangaatsiaq+MIU-QAR<Indikativ<han
Kangaatsiarmioqarporlu	Kangaatsiaq+MIU-QAR<Indikativ<han+LU
Kangaatsiarmioqarnerli	Kangaatsiaq+MIU-QAR+NIQ+LI
Kangaatsiarmioqartoq	Kangaatsiaq+MIU-QAR<Participium<han
Kangaatsiarmioqartorli	Kangaatsiaq+MIU-QAR+TUQ+LI
Kangaatsiarmiuullutilli	Kangaatsiaq+MIU-U<Ledsagemåde<de_selv+LI
Kangaatsiarmiooqqutiginuna	Kangaatsiaq+MIU-U-QQU<Imperativ<ViDem+UNA
Kangaatsiarmiooriarlutik	Kangaatsiaq+MIU-U-RIAR<Ledsagemåde<de_selv
Kangaatsiarmiooreertoqalaarpugulli	Kangaatsiaq+MIU-U-RIIR+TUQ-QAR-LAAR<Indikativ<vi+LI
Kangaatsiamukaannarlutik	Kangaatsiaq<Terminalis-KAR-INNAR<Ledsagemåde<de_selv
Kangaatsiamukanngillallu	Kangaatsiaq<Terminalis-KAR-NNGIT<Indikativ<de+LU
Kangaatsiamukareertungali	Kangaatsiaq<Terminalis-KAR-RIIR<Participium<jeg+LI
Kangaatsiamukassagatta	Kangaatsiaq<Terminalis-KAR-SSA<Causativ<vi
Kangaatsiamulli	Kangaatsiaq<Terminalis+LI
Kangaatsiamullu	Kangaatsiaq<Terminalis+LU
Kangaatsiakkulli	Kangaatsiaq<Vialis+LI
Kangaatsiakkullu	Kangaatsiaq<Vialis+LU
Kangaatsiakkununa	Kangaatsiaq<Vialis+UNA
Kangerlussuaq	Kangerlussuaq<Absolut
Kangerlussuaruna	Kangerlussuaq<Absolut+UNA
Kangerlussuarmik	Kangerlussuaq<Instrumentalis
Kangerlussuarmilli	Kangerlussuaq<Instrumentalis+LI
Kangerlussuarmi	Kangerlussuaq<Lokalis
Kangerlussuarmiillutik	Kangerlussuaq<Lokalis+IP<Ledsagemåde<de_selv
Kangerlussuarmeeqqaartunga	Kangerlussuaq<Lokalis+IP-QQAAR<Participium<jeg
Kangerlussuarmeeqqaartungaana	Kangerlussuaq<Lokalis+IP-QQAAR<Participium<jeg+UNA
Kangerlussuarmeereerpit	Kangerlussuaq<Lokalis+IP-RIIR<Interrogativ<du
Kangerlussuarmeereerneq	Kangerlussuaq<Lokalis+IP-RIIR+NIQ
Kangerlussuarmiuni	Kangerlussuaq+MIU<flertal<Lokalis
Kangerlussuarmiuleriniarnini	Kangerlussuaq+MIU-LIRI+NIAR+NIQ<ental<sin<Absolut
Kangerlussuarmiulerisaraluarpullu	Kangerlussuaq+MIU-LIRI+TAR=GALUAR<Indikativ<de+LU
Kangerlussuarmiulerisooqquiuk	Kangerlussuaq+MIU-LIRI+TUQ-U-QQU<Interrogativ<DuHam
Kangerlussuarmioqarporuna	Kangerlussuaq+MIU-QAR<Indikativ<han+UNA
Kangerlussuarmioqartoq	Kangerlussuaq+MIU-QAR<Participium<han
Kangerlussuarmiooreerpit	Kangerlussuaq+MIU-U-RIIR<Interrogativ<du
Kangerlussuarmiuusinnaagamaana	Kangerlussuaq+MIU-U+SINNAA<Causativ<jeg+UNA
Kangerlussuarmiuusarmata	Kangerlussuaq+MIU-U+TAR<Causativ<de
Kangerlussuarmukalertorli	Kangerlussuaq<Terminalis-KAR-LIR<Participium<han+LI
Kangerlussuarmukarnikuutoqanngilaq	Kangerlussuaq<Terminalis-KAR+NIKUU+TUQ-QAR-NNGIT<Indikativ<han
Kangerlussuarmulli	Kangerlussuaq<Terminalis+LI
Kangerlussuarmununa	Kangerlussuaq<Terminalis+UNA
Kangerlussuakkut	Kangerlussuaq<Vialis
Kangerlussuakkulli	Kangerlussuaq<Vialis+LI
Kangerlussuakkullu	Kangerlussuaq<Vialis+LU
Kangerlussuakkununa	Kangerlussuaq<Vialis+UNA
kapitaliiuna	kapitali<flertal<hans<Absolut+UNA
kapitaligiittununa	kapitali+GIIT<flertal<Aequalis+UNA
kapitaligiilerivallaanngilanga	kapitali+GIIT-LIRI+VALLAAR=NNGIT<Indikativ<jeg
kapitalilerisimasartukkui	kapitali-LIRI+SIMA=TAR+TUQ-KKUT<flertal<hans<Absolut
kapitalinngoorusullutik	kapitali-NNGUAQ-U+GUSUP<Ledsagemåde<de_selv
kapitalinngooriartooqqugakku	kapitali-NNGUAQ-U-RIAR+TUQ-U-QQU<Causativ<JegHam
kapitalinngulaartarpulli	kapitali-NNGUR-LAAR=TAR<Indikativ<de+LI
kapitalinngoqqaarninilu	kapitali-NNGUR-QQAAR+NIQ<ental<sin<Absolut+LU
kapitalinnguinnerillu	kapitali-NNGUR-VIP+NIQ<flertal<Relativ+LU
kapitalerpassuilli	kapitali+PASSUAQ<flertal<Absolut+LI
kapitalerpassui	kapitali+PASSUAQ<flertal<hans<Absolut
kapitalerpassuili	kapitali+PASSUAQ<flertal<hans<Absolut+LI
kapitalerpassuilu	kapitali+PASSUAQ<flertal<hans<Absolut+LU
kapitalerpassuarnukaqqaartoq	kapitali+PASSUAQ<flertal<Terminalis-KAR-QQAAR+TUQ
kapitaleqavimmata	kapitali-QAR-VIP<Causativ<de
kapitalisiuinnaramali	kapitali+SIUR-INNAR<Causativ<jeg+LI
kapitalisiulaartorlu	kapitali+SIUR-LAAR<Participium<han+LU
kapitalisioqquaa	kapitali+SIUR-QQU<Indikativ<HanHam
kapitalisiorsimanini	kapitali+SIUR+SIMA+NIQ<ental<sin<Absolut
kapitalissara	kapitali-SSAQ<ental<min<Absolut
kapitalissamalu	kapitali-SSAQ<flertal<min>Relativ+LU
kapitaliunerullutilli	kapitali-U+NIRU<Ledsagemåde<de_selv+LI
kapitaliunerusoq	kapitali-U+NIRU<Participium<han
kiisa	kiisa<Partikel
kiisali	kiisa<Partikel+LI
kiisalu	kiisa<Partikel+LU
kiisaana	kiisa<Partikel+UNA
kingullialli	kingulleq<ental<deres<Absolut+LI
kingulliali	kingulleq<ental<hans<Absolut+LI
kingullerminguna	kingulleq<ental<Instrumentalis+UNA
kingulliit	kingulleq<flertal<Absolut
kingullerinermangali	kingulleq+GӘ+NIR<Causativ<HanMig+LI
kingullerinerullugu	kingulleq+GӘ+NIRU<Ledsagemåde<ham
kingullerissaviuk	kingulleq+GӘ-SSA<Interrogativ<DuHam
kingullerivallaarlara	kingulleq+GӘ+VALLAAR<Optativ<JegHam
kingullilissiussagaluarpoq	kingulleq-LIK+SIUR-SSA=GALUAR<Indikativ<han
kingullinngulaartarnertut	kingulleq-NNGUR-LAAR=TAR+NIQ<ental<Aequalis
kingullinngunngitsooqqutigit	kingulleq-NNGUR-NNGIT+TUQ-U-QQU<Imperativ<ViDem
kingullinngoreermatalu	kingulleq-NNGUR-RIIR<Causativ<de+LU
kingulleqalaartarmat	kingulleq-QAR-LAAR=TAR<Causativ<han
kingulleqalaartartununa	kingulleq-QAR-LAAR=TAR<Participium<de+UNA
kingulleqarniarpunga	kingulleq-QAR+NIAR<Indikativ<jeg
kingulleqanngillalli	kingulleq-QAR-NNGIT<Indikativ<de+LI
kingulleqannginneq	kingulleq-QAR-NNGIT+NIQ<ental<Absolut
kingulleqaqqaarpullu	kingulleq-QAR-QQAAR<Indikativ<de+LU
kingulleqaqqugakku	kingulleq-QAR-QQU<Causativ<JegHam
kingulleqaqqutiginuna	kingulleq-QAR-QQU<Imperativ<ViDem+UNA
kingullertaaqqaarlutilli	kingulleq+TAAR-QQAAR<Ledsagemåde<de_selv+LI
kingullertaavinninilu	kingulleq+TAAR-VIP+NIQ<ental<sin<Absolut+LU
kisimi	kisimi<Adjektiv
kisimili	kisimi<Adjektiv+LI
kisimiuna	kisimi<Adjektiv+UNA
kitiga	kitә<ental<min<Absolut
kitima	kitә<ental<min>Relativ
kitini	kitә<ental<sin<Absolut
kitaanulli	kitә<ental<Terminalis<hans+LI
kitaanununa	kitә<ental<Terminalis<hans+UNA
kitinngualu	kitә-NNGUAQ<ental<hans<Absolut+LU
kitinngui	kitә-NNGUAQ<flertal<hans<Absolut
kitinnguili	kitә-NNGUAQ<flertal<hans<Absolut+LI
kitinngualereqqullugilli	kitә-NNGUAQ-LIRI-QQU<Ledsagemåde<dem+LI
kitinnguaqaannartoriunnaartigit	kitә-NNGUAQ-QAR-INNAR+TUQ+GӘ+GUNNAAR<Imperativ<ViDem
kitinngoorusukkama	kitә-NNGUAQ-U+GUSUP<Causativ<jeg
kitinngooqqaarpungaana	kitә-NNGUAQ-U-QQAAR<Indikativ<jeg+UNA
kitinngooqqaarninili	kitә-NNGUAQ-U-QQAAR+NIQ<ental<sin<Absolut+LI
kitinngooqqaartoorusummalli	kitә-NNGUAQ-U-QQAAR+TUQ-U+GUSUP<Causativ<han+LI
kitinngooriartoruna	kitә-NNGUAQ-U-RIAR<Participium<han+UNA
kitissaq	kitә-SSAQ<ental<Absolut
kitissatut	kitә-SSAQ<ental<Aequalis
kitissamali	kitә-SSAQ<ental<min>Relativ+LI
kitissannguinnarpoq	kitә-SSAQ-NNGUR-INNAR<Indikativ<han
kitissanngussagaluarmata	kitә-SSAQ-NNGUR-SSA=GALUAR<Causativ<de
kitissaqalaartartorpassui	kitә-SSAQ-QAR-LAAR=TAR+TUQ+PASSUAQ<flertal<hans<Absolut
kunngigali	kunngi<ental<min<Absolut+LI
kunngimaana	kunngi<ental<min>Relativ+UNA
kunngikkut	kunngi<ental<Vialis
kunngikkullu	kunngi<ental<Vialis+LU
kunngima	kunngi<flertal<min>Relativ
kunngigiinnilu	kunngi+GIIT<flertal<Lokalis+LU
kunngigiilerisaraluartorisimalara	kunngi+GIIT-LIRI+TAR=GALUAR+TUQ+GӘ+SIMA<Optativ<JegHam
kunngigiinnguinnartoriunnaartigit	kunngi+GIIT-NNGUR-INNAR+TUQ+GӘ+GUNNAAR<Imperativ<ViDem
kunngigivakka	kunngi+GӘ<Indikativ<JegDem
kunngiginikuugakku	kunngi+GӘ+NIKUU<Causativ<JegHam
kunngigisinnaavagulli	kunngi+GӘ+SINNAA<Indikativ<ViDem+LI
kunngigissalara	kunngi+GӘ-SSA<Optativ<JegHam
kunngiinnaq	kunngi-INNAQ<ental<Absolut
kunngikkunneeqquaalu	kunngi-KKUT<flertal<Lokalis+IP-QQU<Indikativ<HanHam+LU
kunngilik	kunngi-LIK<ental<Absolut
kunngillinuna	kunngi-LIK<flertal<Relativ+UNA
kunngilereriartut	kunngi-LIRI-RIAR<Participium<de
kunngimiunngulertorlu	kunngi+MIU-NNGUR-LIR<Participium<han+LU
kunngimioqarnerli	kunngi+MIU-QAR+NIQ+LI
kunngimioqartorli	kunngi+MIU-QAR<Participium<han+LI
kunnginngooreertungalu	kunngi-NNGUAQ-U-RIIR<Participium<jeg+LU
kunnginnguinnarlutik	kunngi-NNGUR-INNAR<Ledsagemåde<de_selv
kunnginngoqqaartuma	kunngi-NNGUR-QQAAR+TUQ<flertal<min>Relativ
kunnginngussaaq	kunngi-NNGUR-SSA<Indikativ<han
kunngerpassuillu	kunngi+PASSUAQ<flertal<Absolut+LU
kunngerpassuinuna	kunngi+PASSUAQ<flertal<Absolut+UNA
kunngerpassuartut	kunngi+PASSUAQ<flertal<Aequalis
kunngerpassui	kunngi+PASSUAQ<flertal<hans<Absolut
kunngerpassuili	kunngi+PASSUAQ<flertal<hans<Absolut+LI
kunngerpassuarnik	kunngi+PASSUAQ<flertal<Instrumentalis
kunngerpassuarneeqquara	kunngi+PASSUAQ<flertal<Lokalis+IP-QQU<Indikativ<JegHam
kunngerpassuarneeqqulara	kunngi+PASSUAQ<flertal<Lokalis+IP-QQU<Optativ<JegHam
kunngerpassuakkali	kunngi+PASSUAQ<flertal<min<Absolut+LI
kunngerpassuakkaana	kunngi+PASSUAQ<flertal<min<Absolut+UNA
kunngerpassuarnut	kunngi+PASSUAQ<flertal<Terminalis
kunngeqaannarnini	kunngi-QAR-INNAR+NIQ<ental<sin<Absolut
kunngeqaannartoqareertunngoqqummangali	kunngi-QAR-INNAR+TUQ-QAR-RIIR+TUQ-NNGUR-QQU<Causativ<HanMig+LI
kunngeqalaartarmatali	kunngi-QAR-LAAR=TAR<Causativ<de+LI
