aasaq	aasaq<ental<Absolut
illoqarfikkulluunniit	illoqarfik-KKUT<flertal<Absolut+LUUNNIIT
illoqarfissiormalluunniit	illoqarfik+SIUR<Causativ<han+LUUNNIIT
illoqarfissioratta	illoqarfik+SIUR<Causativ<vi
illoqarfissiorunnaarmalluunniit	illoqarfik+SIUR+GUNNAAR<Causativ<han+LUUNNIIT
illoqarfissiorunnaaratta	illoqarfik+SIUR+GUNNAAR<Causativ<vi
illoqarfissiorunnaarporluunniit	illoqarfik+SIUR+GUNNAAR<Indikativ<han+LUUNNIIT
illoqarfissiorusummat	illoqarfik+SIUR+GUSUP<Causativ<han
illoqarfissiorusukkatta	illoqarfik+SIUR+GUSUP<Causativ<vi
illoqarfissiorusukkattaluunniit	illoqarfik+SIUR+GUSUP<Causativ<vi+LUUNNIIT
illoqarfissiorpoq	illoqarfik+SIUR<Indikativ<han
illoqarfissiorporluunniit	illoqarfik+SIUR<Indikativ<han+LUUNNIIT
illoqarfissiorluarmata	illoqarfik+SIUR+LUAR<Causativ<de
illoqarfissiorluarpoq	illoqarfik+SIUR+LUAR<Indikativ<han
illoqarfissiorluarporluunniit	illoqarfik+SIUR+LUAR<Indikativ<han+LUUNNIIT
illoqarfissiuimmataluunniit	illoqarfik+SIUR-VIP<Causativ<de+LUUNNIIT
illoqarfissiuimmat	illoqarfik+SIUR-VIP<Causativ<han
illoqarfissiuimmalluunniit	illoqarfik+SIUR-VIP<Causativ<han+LUUNNIIT
illoqarfissiuikkatta	illoqarfik+SIUR-VIP<Causativ<vi
illoqarfissiuippoq	illoqarfik+SIUR-VIP<Indikativ<han
illoqarfissiuipporluunniit	illoqarfik+SIUR-VIP<Indikativ<han+LUUNNIIT
illoqarfittaarmata	illoqarfik+TAAR<Causativ<de
illoqarfittaarmataluunniit	illoqarfik+TAAR<Causativ<de+LUUNNIIT
illoqarfittaarmalluunniit	illoqarfik+TAAR<Causativ<han+LUUNNIIT
illoqarfittaaratta	illoqarfik+TAAR<Causativ<vi
illoqarfittaarattaluunniit	illoqarfik+TAAR<Causativ<vi+LUUNNIIT
illoqarfittaarunnaarmata	illoqarfik+TAAR+GUNNAAR<Causativ<de
illoqarfittaarunnaarmat	illoqarfik+TAAR+GUNNAAR<Causativ<han
illoqarfittaarunnaarmalluunniit	illoqarfik+TAAR+GUNNAAR<Causativ<han+LUUNNIIT
illoqarfittaarusummata	illoqarfik+TAAR+GUSUP<Causativ<de
illoqarfittaarusummalluunniit	illoqarfik+TAAR+GUSUP<Causativ<han+LUUNNIIT
illoqarfittaarusukkatta	illoqarfik+TAAR+GUSUP<Causativ<vi
illoqarfittaarusukkattaluunniit	illoqarfik+TAAR+GUSUP<Causativ<vi+LUUNNIIT
illoqarfittaarusuppoq	illoqarfik+TAAR+GUSUP<Indikativ<han
illoqarfittaarpoq	illoqarfik+TAAR<Indikativ<han
illoqarfittaarporluunniit	illoqarfik+TAAR<Indikativ<han+LUUNNIIT
illoqarfittaarluarmataluunniit	illoqarfik+TAAR+LUAR<Causativ<de+LUUNNIIT
illoqarfittaarluarmat	illoqarfik+TAAR+LUAR<Causativ<han
illoqarfittaarluaratta	illoqarfik+TAAR+LUAR<Causativ<vi
illoqarfittaarluarpoq	illoqarfik+TAAR+LUAR<Indikativ<han
illoqarfittaavimmataluunniit	illoqarfik+TAAR-VIP<Causativ<de+LUUNNIIT
illoqarfittaavikkatta	illoqarfik+TAAR-VIP<Causativ<vi
illoqarfittaavikkattaluunniit	illoqarfik+TAAR-VIP<Causativ<vi+LUUNNIIT
illoqarfittaavippoq	illoqarfik+TAAR-VIP<Indikativ<han
illoqarfittaavipporluunniit	illoqarfik+TAAR-VIP<Indikativ<han+LUUNNIIT
imatut	imatut<Partikel
imatulluunniit	imatut<Partikel+LUUNNIIT
imermata	imer<Causativ<de
imermat	imer<Causativ<han
imermalluunniit	imer<Causativ<han+LUUNNIIT
imeratta	imer<Causativ<vi
imerattaluunniit	imer<Causativ<vi+LUUNNIIT
imerunnaarmataluunniit	imer+GUNNAAR<Causativ<de+LUUNNIIT
imerunnaaratta	imer+GUNNAAR<Causativ<vi
imerunnaarattaluunniit	imer+GUNNAAR<Causativ<vi+LUUNNIIT
imerunnaarporluunniit	imer+GUNNAAR<Indikativ<han+LUUNNIIT
imerusummataluunniit	imer+GUSUP<Causativ<de+LUUNNIIT
imerusummat	imer+GUSUP<Causativ<han
imerusukkatta	imer+GUSUP<Causativ<vi
imerusukkattaluunniit	imer+GUSUP<Causativ<vi+LUUNNIIT
imerusuppoq	imer+GUSUP<Indikativ<han
imerusupporluunniit	imer+GUSUP<Indikativ<han+LUUNNIIT
imerpoq	imer<Indikativ<han
imerluarmataluunniit	imer+LUAR<Causativ<de+LUUNNIIT
imerluarmat	imer+LUAR<Causativ<han
imerluaratta	imer+LUAR<Causativ<vi
imerluarpoq	imer+LUAR<Indikativ<han
imivimmata	imer-VIP<Causativ<de
imivimmataluunniit	imer-VIP<Causativ<de+LUUNNIIT
imivimmat	imer-VIP<Causativ<han
imivimmalluunniit	imer-VIP<Causativ<han+LUUNNIIT
imivikkatta	imer-VIP<Causativ<vi
imivikkattaluunniit	imer-VIP<Causativ<vi+LUUNNIIT
imivippoq	imer-VIP<Indikativ<han
imivipporluunniit	imer-VIP<Indikativ<han+LUUNNIIT
immaqa	immaqa<Partikel
immaqaluunniit	immaqa<Partikel+LUUNNIIT
inersimasoq	inersimasoq<ental<Absolut
inersimasorluunniit	inersimasoq<ental<Absolut+LUUNNIIT
inersimasukkut	inersimasoq<ental<Vialis
