aallaratta	aallar<Causativ<vi
eqqaqaneeriarnini	eqqaq<ental<Lokalis<hans+IP-RIAR+NIQ<ental<sin<Absolut
eqqara	eqqaq<ental<min<Absolut
eqqarali	eqqaq<ental<min<Absolut+LI
eqqaraluunniit	eqqaq<ental<min<Absolut+LUUNNIIT
eqqanneeqqugakku	eqqaq<ental<min<Lokalis+IP-QQU<Causativ<JegHam
eqqama	eqqaq<ental<min<Relativ
eqqamali	eqqaq<ental<min<Relativ+LI
eqqani	eqqaq<ental<sin<Absolut
eqqaanulli	eqqaq<ental<Terminalis<hans+LI
eqqaanununa	eqqaq<ental<Terminalis<hans+UNA
eqqaqaannarluunniit	eqqaq-INNAQ<ental<Absolut+LUUNNIIT
eqqaqaannarsiussagaluarnerilluunniit	eqqaq-INNAQ+SIUR-SSA=GALUAR+NIQ<flertal<Absolut+LUUNNIIT
eqqaqinngooqimmata	eqqaq-NNGUAQ-U-QӘ<Causativ<de
eqqaqinngooqaagut	eqqaq-NNGUAQ-U-QӘ<Indikativ<vi
eqqaqinngooreernini	eqqaq-NNGUAQ-U-RIIR+NIQ<ental<sin<Absolut
eqqarsaatiginiarmanga	eqqarsaatigә+NIAR<Causativ<HanMig
eqqarsartariaatsikkulli	eqqarsartariaaseq<ental<Vialis+LI
eqqarsartariaatsineereerpugununa	eqqarsartariaaseq<flertal<Lokalis+IP-RIIR<Indikativ<vi+UNA
eqqarsartariaatsiniissagaluarnerli	eqqarsartariaaseq<flertal<Lokalis+IP-SSA=GALUAR+NIQ<ental<Absolut+LI
eqqarsartariaasiinnaq	eqqarsartariaaseq-INNAQ<ental<Absolut
eqqumiimmatali	eqqumiip<Causativ<de+LI
eqqumiimmallu	eqqumiip<Causativ<han+LU
eqqumiikkamaluunniit	eqqumiip<Causativ<jeg+LUUNNIIT
eqqumiiffilissagaluarpaat	eqqumiip+FIK-LIR_nv-SSA=GALUAR<Indikativ<DeHam
eqqumiiffeqalaartarfeqartussaaffeqaqqaarnerata	eqqumiip+FIK-QAR-LAAR=TAR+FIK-QAR+TUQ=SSAQ=U+FIK-QAR-QQAAR+NIQ<ental<hans<Relativ
eqqumiilaarnernik	eqqumiip-LAAR+NIQ<flertal<Instrumentalis
eqqumiilaartaratta	eqqumiip-LAAR=TAR<Causativ<vi
eqqumiillutinguna	eqqumiip<Ledsagemåde<de_selv+UNA
eqqumiilluarmataluunniit	eqqumiip+LUAR<Causativ<de+LUUNNIIT
eqqumiinnikuuisi	eqqumiip+NIKUU<Interrogativ<I
eqqumiinnikuullutik	eqqumiip+NIKUU<Ledsagemåde<de_selv
eqqumiinnikuullutilluunniit	eqqumiip+NIKUU<Ledsagemåde<de_selv+LUUNNIIT
eqqumiinnerullutik	eqqumiip+NIRU<Ledsagemåde<de_selv
eqqumeeqqaarmata	eqqumiip-QQAAR<Causativ<de
