akisussaassuseq	akisussaassuseq<ental<Absolut
inequnartussaanerpaata	inequnar+TUQ=SSAQ=U+NIRPAAQ<ental<hans<Relativ
inequnartussaanerpaat	inequnar+TUQ=SSAQ=U+NIRPAAQ<flertal<deres<Absolut
ingerlappaa	ingerlap<Indikativ<HanHam
ingerlatitippaa	ingerlap+TIP<Indikativ<HanHam
ingerlattussaavaa	ingerlap+TUQ=SSAQ=U<Indikativ<HanHam
inuuik	inuuik<ental<Absolut
inuuiata	inuuik<ental<deres<Relativ
inuuiata	inuuik<ental<hans<Relativ
inuuinni	inuuik<ental<min<Lokalis
inuuii	inuuik<flertal<deres<Absolut
inuuinni	inuuik<flertal<min<Lokalis
inuuilerpaa	inuuik-LIR_nv<Indikativ<HanHam
inuuilertippaa	inuuik-LIR_nv+TIP<Indikativ<HanHam
inuuissaagaluaq	inuuik-SSAQ=U=GALUAQ<Absolut<ental
inuuissaagaluata	inuuik-SSAQ=U=GALUAQ<ental<deres<Relativ
inuuissaagaluanni	inuuik-SSAQ=U=GALUAQ<ental<min<Lokalis
inuuissaagalui	inuuik-SSAQ=U=GALUAQ<flertal<deres<Absolut
inuuissaagaluanni	inuuik-SSAQ=U=GALUAQ<flertal<min<Lokalis
isumaqatigiissutigivaa	isumaqatigiissutigә<Indikativ<HanHam
isumaqatigiissutigitippaa	isumaqatigiissutigә+TIP<Indikativ<HanHam
isumaqatigiissutigisussaavaa	isumaqatigiissutigә+TUQ=SSAQ=U<Indikativ<HanHam
januaari	januaari<ental<Absolut
maaji	maaji<ental<Absolut
malippaa	malip<Indikativ<HanHam
malitsippaa	malip+TIP<Indikativ<HanHam
malittussaavaa	malip+TUQ=SSAQ=U<Indikativ<HanHam
meeqqerivik	meeqqerivik<ental<Absolut
meeqqeriviata	meeqqerivik<ental<deres<Relativ
meeqqeriviata	meeqqerivik<ental<hans<Relativ
meeqqerivinni	meeqqerivik<ental<min<Lokalis
meeqqerivii	meeqqerivik<flertal<deres<Absolut
meeqqerivinni	meeqqerivik<flertal<min<Lokalis
meeqqerivilerpaa	meeqqerivik-LIR_nv<Indikativ<HanHam
meeqqerivilertippaa	meeqqerivik-LIR_nv+TIP<Indikativ<HanHam
meeqqerivilertussaavaa	meeqqerivik-LIR_nv+TUQ=SSAQ=U<Indikativ<HanHam
