aappaatigut	aappaatigut<Partikel
isimeertariaqarpoq	isә<ental<Instrumentalis-IR+TARIAQAR<Indikativ<han
isiminik	isә<ental<sin<Instrumentalis
isinik	isә<flertal<Instrumentalis
isineerpoq	isә<flertal<Instrumentalis-IR<Indikativ<han
isineerluinnarpoq	isә<flertal<Instrumentalis-IR+LUINNAR<Indikativ<han
isineertariaqarpoq	isә<flertal<Instrumentalis-IR+TARIAQAR<Indikativ<han
isiminik	isә<flertal<sin<Instrumentalis
isiku	isә-KU<ental<Absolut
isikumeertariaqarpoq	isә-KU<ental<Instrumentalis-IR+TARIAQAR<Indikativ<han
isikuminik	isә-KU<ental<sin<Instrumentalis
isikunik	isә-KU<flertal<Instrumentalis
isikuneerpoq	isә-KU<flertal<Instrumentalis-IR<Indikativ<han
isikuneerluinnarpoq	isә-KU<flertal<Instrumentalis-IR+LUINNAR<Indikativ<han
isikuneertariaqarpoq	isә-KU<flertal<Instrumentalis-IR+TARIAQAR<Indikativ<han
isikuminik	isә-KU<flertal<sin<Instrumentalis
iserujuk	isә-RUJUK<ental<Absolut
iserujuattut	isә-RUJUK<ental<deres<Aequalis
iserujummik	isә-RUJUK<ental<Instrumentalis
iserujummeerluinnarpoq	isә-RUJUK<ental<Instrumentalis-IR+LUINNAR<Indikativ<han
iserujummeertariaqarpoq	isә-RUJUK<ental<Instrumentalis-IR+TARIAQAR<Indikativ<han
iserujumminik	isә-RUJUK<ental<sin<Instrumentalis
iserujunnik	isә-RUJUK<flertal<Instrumentalis
iserujunneerluinnarpoq	isә-RUJUK<flertal<Instrumentalis-IR+LUINNAR<Indikativ<han
iserujunneertariaqarpoq	isә-RUJUK<flertal<Instrumentalis-IR+TARIAQAR<Indikativ<han
iserujuminik	isә-RUJUK<flertal<sin<Instrumentalis
iserujussuaq	isә-RUJUK=SUAQ<ental<Absolut
iserujussuattut	isә-RUJUK=SUAQ<ental<deres<Aequalis
iserujussuarmeerpoq	isә-RUJUK=SUAQ<ental<Instrumentalis-IR<Indikativ<han
iserujussuarmeerluinnarpoq	isә-RUJUK=SUAQ<ental<Instrumentalis-IR+LUINNAR<Indikativ<han
iserujussuarmeertariaqarpoq	isә-RUJUK=SUAQ<ental<Instrumentalis-IR+TARIAQAR<Indikativ<han
iserujussuarminik	isә-RUJUK=SUAQ<ental<sin<Instrumentalis
iserujussuarnik	isә-RUJUK=SUAQ<flertal<Instrumentalis
iserujussuarneerluinnarpoq	isә-RUJUK=SUAQ<flertal<Instrumentalis-IR+LUINNAR<Indikativ<han
iserujussuarneertariaqarpoq	isә-RUJUK=SUAQ<flertal<Instrumentalis-IR+TARIAQAR<Indikativ<han
iserujussuaminik	isә-RUJUK=SUAQ<flertal<sin<Instrumentalis
nakkarpoq	nakkar<Indikativ<han
nakkarluinnarpoq	nakkar+LUINNAR<Indikativ<han
nakkaqaaq	nakkar-QӘ<Indikativ<han
nakkartariaqarpoq	nakkar+TARIAQAR<Indikativ<han
nakkartorujorujussuuvoq	nakkar+TUQ=RUJUK=RUJUK=SUAQ=U<Indikativ<han
nakkartorujussuuvoq	nakkar+TUQ=RUJUK=SUAQ=U<Indikativ<han
nillerpoq	niller<Indikativ<han
nillerluinnarpoq	niller+LUINNAR<Indikativ<han
nilleqaaq	niller-QӘ<Indikativ<han
nillertariaqarpoq	niller+TARIAQAR<Indikativ<han
nillertorujorujussuuvoq	niller+TUQ=RUJUK=RUJUK=SUAQ=U<Indikativ<han
nillertorujussuuvoq	niller+TUQ=RUJUK=SUAQ=U<Indikativ<han
nuannarivatit	nuannarә<Indikativ<DuDem
nuannarivaa	nuannarә<Indikativ<HanHam
nuannarivarput	nuannarә<Indikativ<ViHam
nuannariluinnarpatit	nuannarә+LUINNAR<Indikativ<DuDem
nuannariluinnarpaa	nuannarә+LUINNAR<Indikativ<HanHam
nuannariluinnarparput	nuannarә+LUINNAR<Indikativ<ViHam
nuannareqaatit	nuannarә-QӘ<Indikativ<DuDem
nuannareqaa	nuannarә-QӘ<Indikativ<HanHam
nuannareqaarput	nuannarә-QӘ<Indikativ<ViHam
nuannarisariaqarpatit	nuannarә+TARIAQAR<Indikativ<DuDem
nuannarisariaqarpaa	nuannarә+TARIAQAR<Indikativ<HanHam
nuannarisariaqarparput	nuannarә+TARIAQAR<Indikativ<ViHam
