aallartikkama	aallartip<Causativ<jeg
oqarfigivallaarpaa	oqarfigә+VALLAAR<Indikativ<HanHam
oqarfigivallaarpaanga	oqarfigә+VALLAAR<Indikativ<HanMig
oqarfigivallaarpara	oqarfigә+VALLAAR<Indikativ<JegHam
paasimmanga	paasi<Causativ<HanMig
paasigakku	paasi<Causativ<JegHam
paasivaa	paasi<Indikativ<HanHam
paasivaanga	paasi<Indikativ<HanMig
paasivara	paasi<Indikativ<JegHam
paasiinnarmanga	paasi-INNAR<Causativ<HanMig
paasiinnarakku	paasi-INNAR<Causativ<JegHam
paasiinnarpaa	paasi-INNAR<Indikativ<HanHam
paasiinnarpaanga	paasi-INNAR<Indikativ<HanMig
paasiinnarpara	paasi-INNAR<Indikativ<JegHam
paasinikuummanga	paasi+NIKUU<Causativ<HanMig
paasinikuugakku	paasi+NIKUU<Causativ<JegHam
paasinikuuaa	paasi+NIKUU<Indikativ<HanHam
paasinikuuaanga	paasi+NIKUU<Indikativ<HanMig
paasinikuuara	paasi+NIKUU<Indikativ<JegHam
paasineqarama	paasi+NIQAR<Causativ<jeg
paasineqarpoq	paasi+NIQAR<Indikativ<han
paasinermanga	paasi+NIR<Causativ<HanMig
paasinerakku	paasi+NIR<Causativ<JegHam
paasinerummanga	paasi+NIRU<Causativ<HanMig
paasinerugakku	paasi+NIRU<Causativ<JegHam
paasineruaa	paasi+NIRU<Indikativ<HanHam
paasineruaanga	paasi+NIRU<Indikativ<HanMig
paasineruara	paasi+NIRU<Indikativ<JegHam
paaseqqaarmanga	paasi-QQAAR<Causativ<HanMig
paaseqqaarakku	paasi-QQAAR<Causativ<JegHam
paaseqqaarpaa	paasi-QQAAR<Indikativ<HanHam
paaseqqaarpaanga	paasi-QQAAR<Indikativ<HanMig
paaseqqaarpara	paasi-QQAAR<Indikativ<JegHam
paaseqqummanga	paasi-QQU<Causativ<HanMig
paaseqqugakku	paasi-QQU<Causativ<JegHam
paaseqquaa	paasi-QQU<Indikativ<HanHam
paaseqquaanga	paasi-QQU<Indikativ<HanMig
paaseqquara	paasi-QQU<Indikativ<JegHam
paaseriarmanga	paasi-RIAR<Causativ<HanMig
paaseriarakku	paasi-RIAR<Causativ<JegHam
paasereermanga	paasi-RIIR<Causativ<HanMig
paasereerakku	paasi-RIIR<Causativ<JegHam
paasereerpaa	paasi-RIIR<Indikativ<HanHam
paasereerpaanga	paasi-RIIR<Indikativ<HanMig
paasereerpara	paasi-RIIR<Indikativ<JegHam
paasivallaarmanga	paasi+VALLAAR<Causativ<HanMig
paasivallaarakku	paasi+VALLAAR<Causativ<JegHam
paasivallaarpaa	paasi+VALLAAR<Indikativ<HanHam
paasivallaarpaanga	paasi+VALLAAR<Indikativ<HanMig
paasivallaarpara	paasi+VALLAAR<Indikativ<JegHam
qinnut	qinnut<ental<Absolut
qinnutima	qinnut<ental<min<Relativ
qinnutini	qinnut<ental<sin<Absolut
qinnutigiit	qinnut+GIIT<flertal<Absolut
qinnutissaq	qinnut-SSAQ<ental<Absolut
qinnutissama	qinnut-SSAQ<ental<min<Relativ
qinnutissani	qinnut-SSAQ<ental<sin<Absolut
sivikikkama	sivikip<Causativ<jeg
sivikippoq	sivikip<Indikativ<han
sivikiinnarama	sivikip-INNAR<Causativ<jeg
sivikiinnarpoq	sivikip-INNAR<Indikativ<han
sivikinnikuugama	sivikip+NIKUU<Causativ<jeg
sivikinnikuuvoq	sivikip+NIKUU<Indikativ<han
sivikinnerama	sivikip+NIR<Causativ<jeg
sivikinnerugama	sivikip+NIRU<Causativ<jeg
sivikinneruvoq	sivikip+NIRU<Indikativ<han
sivikeqqaarama	sivikip-QQAAR<Causativ<jeg
sivikeqqaarpoq	sivikip-QQAAR<Indikativ<han
sivikeqqummanga	sivikip-QQU<Causativ<HanMig
sivikeqqugakku	sivikip-QQU<Causativ<JegHam
sivikeqquaa	sivikip-QQU<Indikativ<HanHam
sivikeqquaanga	sivikip-QQU<Indikativ<HanMig
sivikeqquara	sivikip-QQU<Indikativ<JegHam
sivikeriarama	sivikip-RIAR<Causativ<jeg
sivikereerama	sivikip-RIIR<Causativ<jeg
sivikereerpoq	sivikip-RIIR<Indikativ<han
sivikippallaarama	sivikip+VALLAAR<Causativ<jeg
sivikippallaarpoq	sivikip+VALLAAR<Indikativ<han
soqutigimmanga	soqutigә<Causativ<HanMig
soqutigigakku	soqutigә<Causativ<JegHam
soqutigivaa	soqutigә<Indikativ<HanHam
soqutigivaanga	soqutigә<Indikativ<HanMig
soqutigivara	soqutigә<Indikativ<JegHam
soqutigiinnarmanga	soqutigә-INNAR<Causativ<HanMig
soqutigiinnarakku	soqutigә-INNAR<Causativ<JegHam
soqutigiinnarpaa	soqutigә-INNAR<Indikativ<HanHam
soqutigiinnarpaanga	soqutigә-INNAR<Indikativ<HanMig
soqutigiinnarpara	soqutigә-INNAR<Indikativ<JegHam
soqutiginikuummanga	soqutigә+NIKUU<Causativ<HanMig
soqutiginikuugakku	soqutigә+NIKUU<Causativ<JegHam
soqutiginikuuaa	soqutigә+NIKUU<Indikativ<HanHam
soqutiginikuuaanga	soqutigә+NIKUU<Indikativ<HanMig
soqutiginikuuara	soqutigә+NIKUU<Indikativ<JegHam
soqutigineqarama	soqutigә+NIQAR<Causativ<jeg
soqutigineqarpoq	soqutigә+NIQAR<Indikativ<han
soqutiginermanga	soqutigә+NIR<Causativ<HanMig
soqutiginerakku	soqutigә+NIR<Causativ<JegHam
soqutiginerummanga	soqutigә+NIRU<Causativ<HanMig
soqutiginerugakku	soqutigә+NIRU<Causativ<JegHam
