aappaagu	aappaagu<Partikel
tamarmik	tamarmik<Adjektiv
tassa	tassa<Partikel
tutsiuteqqikkaluarpoq	tutsiuteqqip+GALUAR<Indikativ<han
tutsiuteqqikkaluarpunga	tutsiuteqqip+GALUAR<Indikativ<jeg
tutsiuteqqikkaluarpugut	tutsiuteqqip+GALUAR<Indikativ<vi
tutsiuteqqikkaluarpit	tutsiuteqqip+GALUAR<Interrogativ<du
tutsiuteqqikkaluartunga	tutsiuteqqip+GALUAR<Participium<jeg
tutsiuteqqippoq	tutsiuteqqip<Indikativ<han
tutsiuteqqippunga	tutsiuteqqip<Indikativ<jeg
tutsiuteqqippugut	tutsiuteqqip<Indikativ<vi
tutsiuteqqippit	tutsiuteqqip<Interrogativ<du
tutsiuteqqittunga	tutsiuteqqip<Participium<jeg
tutsiuteqqittaraluarpoq	tutsiuteqqip+TAR+GALUAR<Indikativ<han
tutsiuteqqittaraluarpunga	tutsiuteqqip+TAR+GALUAR<Indikativ<jeg
tutsiuteqqittaraluarpugut	tutsiuteqqip+TAR+GALUAR<Indikativ<vi
tutsiuteqqittaraluarpit	tutsiuteqqip+TAR+GALUAR<Interrogativ<du
tutsiuteqqittaraluartunga	tutsiuteqqip+TAR+GALUAR<Participium<jeg
tutsiuteqqittarpoq	tutsiuteqqip+TAR<Indikativ<han
tutsiuteqqittarpunga	tutsiuteqqip+TAR<Indikativ<jeg
tutsiuteqqittarpugut	tutsiuteqqip+TAR<Indikativ<vi
tutsiuteqqittarpit	tutsiuteqqip+TAR<Interrogativ<du
tutsiuteqqittartunga	tutsiuteqqip+TAR<Participium<jeg
ukioq	ukioq<Ental<Absolut
ukiumut	ukioq<Ental<Terminalis
ukiunik	ukioq<Flertal<Instrumentalis
ukiuni	ukioq<Flertal<Lokalis
ukiulerigaluarpoq	ukioq-LIRI+GALUAR<Indikativ<han
ukiulerigaluarpunga	ukioq-LIRI+GALUAR<Indikativ<jeg
ukiulerigaluarpugut	ukioq-LIRI+GALUAR<Indikativ<vi
ukiulerigaluarpit	ukioq-LIRI+GALUAR<Interrogativ<du
ukiulerigaluartunga	ukioq-LIRI+GALUAR<Participium<jeg
