aleqa	aleqa<ental<Absolut
nalunarniarnatik	nalunar+NIAR=NNGIT<Ledsagemåde<de_selv
nalunarnianngitsoq	nalunar+NIAR=NNGIT<Participium<han
nalunarniartut	nalunar+NIAR<Participium<de
nalunarniartoq	nalunar+NIAR<Participium<han
nalunanngillat	nalunar-NNGIT<Indikativ<de
nalunanngilaq	nalunar-NNGIT<Indikativ<han
nalunarnatik	nalunar-NNGIT<Ledsagemåde<de_selv
nalunanngitsut	nalunar-NNGIT<Participium<de
nalunanngitsoq	nalunar-NNGIT<Participium<han
nalunartut	nalunar<Participium<de
nalunartoq	nalunar<Participium<han
nalunarsinnaapput	nalunar+SINNAA<Indikativ<de
nalunarsinnaavoq	nalunar+SINNAA<Indikativ<han
nalunarsinnaallutik	nalunar+SINNAA<Ledsagemåde<de_selv
nalunarsinnaasut	nalunar+SINNAA<Participium<de
nalunarsinnaasoq	nalunar+SINNAA<Participium<han
nuka	nuka<ental<Absolut
nukaa	nuka<ental<hans<Absolut
nukami	nuka<ental<Lokalis
nukamiipput	nuka<ental<Lokalis+IP<Indikativ<de
nukamiippoq	nuka<ental<Lokalis+IP<Indikativ<han
nukamiillutik	nuka<ental<Lokalis+IP<Ledsagemåde<de_selv
nukamiinnianngillat	nuka<ental<Lokalis+IP+NIAR=NNGIT<Indikativ<de
nukamiinniarnatik	nuka<ental<Lokalis+IP+NIAR=NNGIT<Ledsagemåde<de_selv
nukamiinnatik	nuka<ental<Lokalis+IP-NNGIT<Ledsagemåde<de_selv
nukamiinngitsut	nuka<ental<Lokalis+IP-NNGIT<Participium<de
nukamiinngitsoq	nuka<ental<Lokalis+IP-NNGIT<Participium<han
nukamiittut	nuka<ental<Lokalis+IP<Participium<de
nukamiittoq	nuka<ental<Lokalis+IP<Participium<han
nukamiissinnaallutik	nuka<ental<Lokalis+IP+SINNAA<Ledsagemåde<de_selv
nukamiissinnaasut	nuka<ental<Lokalis+IP+SINNAA<Participium<de
nukaa	nuka<flertal<hans<Absolut
nukani	nuka<flertal<Lokalis
nukaniipput	nuka<flertal<Lokalis+IP<Indikativ<de
nukaniippoq	nuka<flertal<Lokalis+IP<Indikativ<han
nukaniillutik	nuka<flertal<Lokalis+IP<Ledsagemåde<de_selv
nukaniinniarpoq	nuka<flertal<Lokalis+IP+NIAR<Indikativ<han
nukaniinniartut	nuka<flertal<Lokalis+IP+NIAR<Participium<de
nukaniinniartoq	nuka<flertal<Lokalis+IP+NIAR<Participium<han
nukaniinngillat	nuka<flertal<Lokalis+IP-NNGIT<Indikativ<de
nukaniinngilaq	nuka<flertal<Lokalis+IP-NNGIT<Indikativ<han
nukaniinngitsoq	nuka<flertal<Lokalis+IP-NNGIT<Participium<han
nukaniittoq	nuka<flertal<Lokalis+IP<Participium<han
nukaniissinnaavoq	nuka<flertal<Lokalis+IP+SINNAA<Indikativ<han
nukaniissinnaallutik	nuka<flertal<Lokalis+IP+SINNAA<Ledsagemåde<de_selv
nukaniissinnaasut	nuka<flertal<Lokalis+IP+SINNAA<Participium<de
nukaniissinnaasoq	nuka<flertal<Lokalis+IP+SINNAA<Participium<han
nukagitigit	nuka+GӘ<Imperativ<ViDem
nukagivaa	nuka+GӘ<Indikativ<HanHam
nukagivakka	nuka+GӘ<Indikativ<JegDem
nukagivagut	nuka+GӘ<Indikativ<ViDem
nukaginngilakka	nuka+GӘ-NNGIT<Indikativ<JegDem
nukaginngilagut	nuka+GӘ-NNGIT<Indikativ<ViDem
Nuuk	Nuuk<Absolut
Nuummi	Nuuk<Lokalis
Nuummiipput	Nuuk<Lokalis+IP<Indikativ<de
Nuummiippoq	Nuuk<Lokalis+IP<Indikativ<han
Nuummiillutik	Nuuk<Lokalis+IP<Ledsagemåde<de_selv
Nuummiinniarput	Nuuk<Lokalis+IP+NIAR<Indikativ<de
Nuummiinniarpoq	Nuuk<Lokalis+IP+NIAR<Indikativ<han
Nuummiinniarlutik	Nuuk<Lokalis+IP+NIAR<Ledsagemåde<de_selv
Nuummiinnianngillat	Nuuk<Lokalis+IP+NIAR=NNGIT<Indikativ<de
Nuummiinnianngilaq	Nuuk<Lokalis+IP+NIAR=NNGIT<Indikativ<han
Nuummiinniarnatik	Nuuk<Lokalis+IP+NIAR=NNGIT<Ledsagemåde<de_selv
Nuummiinnianngitsut	Nuuk<Lokalis+IP+NIAR=NNGIT<Participium<de
Nuummiinnianngitsoq	Nuuk<Lokalis+IP+NIAR=NNGIT<Participium<han
Nuummiinniartut	Nuuk<Lokalis+IP+NIAR<Participium<de
Nuummiinniartoq	Nuuk<Lokalis+IP+NIAR<Participium<han
Nuummiinngillat	Nuuk<Lokalis+IP-NNGIT<Indikativ<de
Nuummiinngilaq	Nuuk<Lokalis+IP-NNGIT<Indikativ<han
Nuummiinnatik	Nuuk<Lokalis+IP-NNGIT<Ledsagemåde<de_selv
Nuummiinngitsut	Nuuk<Lokalis+IP-NNGIT<Participium<de
Nuummiinngitsoq	Nuuk<Lokalis+IP-NNGIT<Participium<han
Nuummiittut	Nuuk<Lokalis+IP<Participium<de
Nuummiittoq	Nuuk<Lokalis+IP<Participium<han
Nuummiissinnaapput	Nuuk<Lokalis+IP+SINNAA<Indikativ<de
Nuummiissinnaavoq	Nuuk<Lokalis+IP+SINNAA<Indikativ<han
Nuummiissinnaallutik	Nuuk<Lokalis+IP+SINNAA<Ledsagemåde<de_selv
Nuummiissinnaasut	Nuuk<Lokalis+IP+SINNAA<Participium<de
Nuummiissinnaasoq	Nuuk<Lokalis+IP+SINNAA<Participium<han
Nuummiu	Nuuk+MIU<ental<Absolut
pingasut	pingasut<Talord<flertal<Absolut
sisamat	sisamat<Talord<flertal<Absolut
taaguut	taaguut<ental<Absolut
taaguutaa	taaguut<ental<hans<Absolut
taaguummi	taaguut<ental<Lokalis
taaguummiipput	taaguut<ental<Lokalis+IP<Indikativ<de
taaguummiippoq	taaguut<ental<Lokalis+IP<Indikativ<han
taaguummiillutik	taaguut<ental<Lokalis+IP<Ledsagemåde<de_selv
taaguummiinniarput	taaguut<ental<Lokalis+IP+NIAR<Indikativ<de
taaguummiinniarpoq	taaguut<ental<Lokalis+IP+NIAR<Indikativ<han
taaguummiinniarlutik	taaguut<ental<Lokalis+IP+NIAR<Ledsagemåde<de_selv
taaguummiinnianngillat	taaguut<ental<Lokalis+IP+NIAR=NNGIT<Indikativ<de
taaguummiinniarnatik	taaguut<ental<Lokalis+IP+NIAR=NNGIT<Ledsagemåde<de_selv
taaguummiinnianngitsut	taaguut<ental<Lokalis+IP+NIAR=NNGIT<Participium<de
taaguummiinnianngitsoq	taaguut<ental<Lokalis+IP+NIAR=NNGIT<Participium<han
taaguummiinniartut	taaguut<ental<Lokalis+IP+NIAR<Participium<de
taaguummiinniartoq	taaguut<ental<Lokalis+IP+NIAR<Participium<han
taaguummiinngillat	taaguut<ental<Lokalis+IP-NNGIT<Indikativ<de
taaguummiinngilaq	taaguut<ental<Lokalis+IP-NNGIT<Indikativ<han
taaguummiinnatik	taaguut<ental<Lokalis+IP-NNGIT<Ledsagemåde<de_selv
taaguummiinngitsut	taaguut<ental<Lokalis+IP-NNGIT<Participium<de
taaguummiinngitsoq	taaguut<ental<Lokalis+IP-NNGIT<Participium<han
taaguummiittut	taaguut<ental<Lokalis+IP<Participium<de
taaguummiittoq	taaguut<ental<Lokalis+IP<Participium<han
taaguummiissinnaapput	taaguut<ental<Lokalis+IP+SINNAA<Indikativ<de
taaguummiissinnaavoq	taaguut<ental<Lokalis+IP+SINNAA<Indikativ<han
taaguummiissinnaallutik	taaguut<ental<Lokalis+IP+SINNAA<Ledsagemåde<de_selv
taaguummiissinnaasut	taaguut<ental<Lokalis+IP+SINNAA<Participium<de
taaguummiissinnaasoq	taaguut<ental<Lokalis+IP+SINNAA<Participium<han
taaguutai	taaguut<flertal<hans<Absolut
taaguutini	taaguut<flertal<Lokalis
taaguutiniipput	taaguut<flertal<Lokalis+IP<Indikativ<de
taaguutiniippoq	taaguut<flertal<Lokalis+IP<Indikativ<han
taaguutiniillutik	taaguut<flertal<Lokalis+IP<Ledsagemåde<de_selv
taaguutiniinniarpoq	taaguut<flertal<Lokalis+IP+NIAR<Indikativ<han
taaguutiniinniarlutik	taaguut<flertal<Lokalis+IP+NIAR<Ledsagemåde<de_selv
taaguutiniinnianngillat	taaguut<flertal<Lokalis+IP+NIAR=NNGIT<Indikativ<de
taaguutiniinniarnatik	taaguut<flertal<Lokalis+IP+NIAR=NNGIT<Ledsagemåde<de_selv
