aamma	aamma<Partikel
Avanersuarmiunngussagaluartungalu	Avanersuaq+MIU-NNGUR-SSA=GALUAR<Participium<jeg+LU
Avanersuarmiunngortartunga	Avanersuaq+MIU-NNGUR+TAR<Participium<jeg
Avanersuarmiunngortassasunga	Avanersuaq+MIU-NNGUR+TAR=SSA<Participium<jeg
Avanersuarmioqarpoq	Avanersuaq+MIU-QAR<Indikativ<han
Avanersuarmioqarporli	Avanersuaq+MIU-QAR<Indikativ<han+LI
Avanersuarmioqarporlu	Avanersuaq+MIU-QAR<Indikativ<han+LU
Avanersuarmioqarneq	Avanersuaq+MIU-QAR+NIQ
Avanersuarmioqarnerli	Avanersuaq+MIU-QAR+NIQ+LI
Avanersuarmioqarnerlu	Avanersuaq+MIU-QAR+NIQ+LU
Avanersuarmiuugaluarporlu	Avanersuaq+MIU-U+GALUAR<Indikativ<han+LU
Avanersuarmiuugaluarpugut	Avanersuaq+MIU-U+GALUAR<Indikativ<vi
Avanersuarmiuugaluarneralli	Avanersuaq+MIU-U+GALUAR+NIQ<ental<deres<Absolut+LI
Avanersuarmiuugaluartunga	Avanersuaq+MIU-U+GALUAR<Participium<jeg
Avanersuarmiuuvugut	Avanersuaq+MIU-U<Indikativ<vi
Avanersuarmiuuit	Avanersuaq+MIU-U<Interrogativ<du
Avanersuarmiuulaarpit	Avanersuaq+MIU-U-LAAR<Interrogativ<du
Avanersuarmiuulaarneq	Avanersuaq+MIU-U-LAAR+NIQ<ental<Absolut
Avanersuarmiuulaartarpunga	Avanersuaq+MIU-U-LAAR=TAR<Indikativ<jeg
Avanersuarmiuunerat	Avanersuaq+MIU-U+NIQ<ental<deres<Absolut
Avanersuarmiuusungali	Avanersuaq+MIU-U<Participium<jeg+LI
Avanersuarmiuusungalu	Avanersuaq+MIU-U<Participium<jeg+LU
Avanersuarmiuusimasarpit	Avanersuaq+MIU-U+SIMA=TAR<Interrogativ<du
Avanersuarmiuussagaluarpungali	Avanersuaq+MIU-U-SSA=GALUAR<Indikativ<jeg+LI
Avanersuarmiuussavit	Avanersuaq+MIU-U-SSA<Interrogativ<du
Avanersuarmiuussanerallu	Avanersuaq+MIU-U-SSA+NIQ<ental<deres<Absolut+LU
Avanersuarmiuusarporli	Avanersuaq+MIU-U+TAR<Indikativ<han+LI
Avanersuarmiuusarpit	Avanersuaq+MIU-U+TAR<Interrogativ<du
Avanersuarmiuusartungalu	Avanersuaq+MIU-U+TAR<Participium<jeg+LU
Avanersuarmiuusassagaluarpunga	Avanersuaq+MIU-U+TAR=SSA=GALUAR<Indikativ<jeg
Avanersuarmiuusassagaluartungalu	Avanersuaq+MIU-U+TAR=SSA=GALUAR<Participium<jeg+LU
Avanersuarmut	Avanersuaq<Terminalis
Avanersuarmullu	Avanersuaq<Terminalis+LU
eqqaamagaluarpaannga	eqqaama+GALUAR<Indikativ<DeMig
eqqaamagaluarpaanngalu	eqqaama+GALUAR<Indikativ<DeMig+LU
eqqaamagaluarpaa	eqqaama+GALUAR<Indikativ<HanHam
eqqaamagaluarpassi	eqqaama+GALUAR<Indikativ<JegJer
eqqaamagaluarpassilu	eqqaama+GALUAR<Indikativ<JegJer+LU
eqqaamagaluarpiuk	eqqaama+GALUAR<Interrogativ<DuHam
eqqaamavaat	eqqaama<Indikativ<DeHam
eqqaamavaanngalu	eqqaama<Indikativ<DeMig+LU
eqqaamavaa	eqqaama<Indikativ<HanHam
eqqaamavassi	eqqaama<Indikativ<JegJer
eqqaamavassili	eqqaama<Indikativ<JegJer+LI
eqqaamaviuk	eqqaama<Interrogativ<DuHam
eqqaamalaarpassi	eqqaama-LAAR<Indikativ<JegJer
eqqaamalaarpiuk	eqqaama-LAAR<Interrogativ<DuHam
eqqaamalaartarpaallu	eqqaama-LAAR=TAR<Indikativ<DeHam+LU
eqqaamalaartarpiuk	eqqaama-LAAR=TAR<Interrogativ<DuHam
eqqaamasimavaat	eqqaama+SIMA<Indikativ<DeHam
eqqaamasimavaalli	eqqaama+SIMA<Indikativ<DeHam+LI
eqqaamasimavaali	eqqaama+SIMA<Indikativ<HanHam+LI
eqqaamasimavassi	eqqaama+SIMA<Indikativ<JegJer
eqqaamasimaviuk	eqqaama+SIMA<Interrogativ<DuHam
eqqaamasimasarpaallu	eqqaama+SIMA=TAR<Indikativ<DeHam+LU
eqqaamasimasarpaanngalu	eqqaama+SIMA=TAR<Indikativ<DeMig+LU
eqqaamasimasarpaa	eqqaama+SIMA=TAR<Indikativ<HanHam
eqqaamasimasarpaali	eqqaama+SIMA=TAR<Indikativ<HanHam+LI
eqqaamasimasarpiuk	eqqaama+SIMA=TAR<Interrogativ<DuHam
eqqaamassagaluarpaat	eqqaama-SSA=GALUAR<Indikativ<DeHam
eqqaamassagaluarpiuk	eqqaama-SSA=GALUAR<Interrogativ<DuHam
eqqaamassavaannga	eqqaama-SSA<Indikativ<DeMig
eqqaamassavaa	eqqaama-SSA<Indikativ<HanHam
eqqaamassavassi	eqqaama-SSA<Indikativ<JegJer
eqqaamasaraluarpaanngali	eqqaama+TAR=GALUAR<Indikativ<DeMig+LI
eqqaamasaraluarpaalu	eqqaama+TAR=GALUAR<Indikativ<HanHam+LU
eqqaamasaraluarpiuk	eqqaama+TAR=GALUAR<Interrogativ<DuHam
eqqaamasarpaa	eqqaama+TAR<Indikativ<HanHam
eqqaamasarpaali	eqqaama+TAR<Indikativ<HanHam+LI
eqqaamasarpiuk	eqqaama+TAR<Interrogativ<DuHam
eqqaamasassagaluarpaat	eqqaama+TAR=SSA=GALUAR<Indikativ<DeHam
eqqaamasassagaluarpaannga	eqqaama+TAR=SSA=GALUAR<Indikativ<DeMig
eqqaamasassagaluarpaalu	eqqaama+TAR=SSA=GALUAR<Indikativ<HanHam+LU
eqqaamasassagaluarpiuk	eqqaama+TAR=SSA=GALUAR<Interrogativ<DuHam
eqqaamasassavaalli	eqqaama+TAR=SSA<Indikativ<DeHam+LI
eqqaamasassavaallu	eqqaama+TAR=SSA<Indikativ<DeHam+LU
eqqaamasassavaannga	eqqaama+TAR=SSA<Indikativ<DeMig
eqqaamasassavaali	eqqaama+TAR=SSA<Indikativ<HanHam+LI
eqqaamasassavassi	eqqaama+TAR=SSA<Indikativ<JegJer
eqqaamasassaviuk	eqqaama+TAR=SSA<Interrogativ<DuHam
eqqumiitsuliortoq	eqqumiitsuliortoq<ental>Absolut
eqqumiitsuliortorli	eqqumiitsuliortoq<ental>Absolut+LI
eqqumiitsuliortutut	eqqumiitsuliortoq<ental<Aequalis
eqqumiitsuliortutullu	eqqumiitsuliortoq<ental<Aequalis+LU
eqqumiitsuliortumi	eqqumiitsuliortoq<ental<Lokalis
eqqumiitsuliortora	eqqumiitsuliortoq<ental<min>Absolut
eqqumiitsuliortorali	eqqumiitsuliortoq<ental<min>Absolut+LI
eqqumiitsuliortunilli	eqqumiitsuliortoq<flertal<Instrumentalis+LI
eqqumiitsuliortuni	eqqumiitsuliortoq<flertal<Lokalis
eqqumiitsuliortunili	eqqumiitsuliortoq<flertal<Lokalis+LI
eqqumiitsuliortunilu	eqqumiitsuliortoq<flertal<Lokalis+LU
eqqumiitsuliortuinnaat	eqqumiitsuliortoq-INNAQ<ental<deres>Absolut
eqqumiitsuliortuinnarmi	eqqumiitsuliortoq-INNAQ<ental<Lokalis
eqqumiitsuliortuinnalerisaraluarneralli	eqqumiitsuliortoq-INNAQ-LIRI+TAR=GALUAR+NIQ<ental<deres<Absolut+LI
eqqumiitsuliortuinnalerisarnernili	eqqumiitsuliortoq-INNAQ-LIRI+TAR+NIQ<flertal<Lokalis+LI
eqqumiitsuliortuinnanngorpugulli	eqqumiitsuliortoq-INNAQ-NNGUR<Indikativ<vi+LI
eqqumiitsuliortuinnanngulaartunga	eqqumiitsuliortoq-INNAQ-NNGUR-LAAR<Participium<jeg
eqqumiitsuliortuinnanngorsimasarpunga	eqqumiitsuliortoq-INNAQ-NNGUR+SIMA=TAR<Indikativ<jeg
eqqumiitsuliortuinnaqalaarneq	eqqumiitsuliortoq-INNAQ-QAR-LAAR+NIQ<ental<Absolut
eqqumiitsuliortuinnaqartarpit	eqqumiitsuliortoq-INNAQ-QAR+TAR<Interrogativ<du
eqqumiitsuliortuinnaalaartarnerilli	eqqumiitsuliortoq-INNAQ-U-LAAR=TAR+NIQ<flertal<Absolut+LI
eqqumiitsuliortulillu	eqqumiitsuliortoq-LIK<ental<Absolut+LU
eqqumiitsuliortulimmullu	eqqumiitsuliortoq-LIK<ental<Terminalis+LU
eqqumiitsuliortullit	eqqumiitsuliortoq-LIK<flertal<Absolut
eqqumiitsuliortullit	eqqumiitsuliortoq-LIK<flertal<Relativ
eqqumiitsuliortulilerisartunga	eqqumiitsuliortoq-LIK-LIRI+TAR<Participium<jeg
eqqumiitsuliortulerivugut	eqqumiitsuliortoq-LIRI<Indikativ<vi
eqqumiitsuliortulerilaarpit	eqqumiitsuliortoq-LIRI-LAAR<Interrogativ<du
eqqumiitsuliortulerilaarnernullu	eqqumiitsuliortoq-LIRI-LAAR+NIQ<flertal<Terminalis+LU
eqqumiitsuliortulerilaartungali	eqqumiitsuliortoq-LIRI-LAAR<Participium<jeg+LI
eqqumiitsuliortulerilaartarpunga	eqqumiitsuliortoq-LIRI-LAAR=TAR<Indikativ<jeg
eqqumiitsuliortulerisungali	eqqumiitsuliortoq-LIRI<Participium<jeg+LI
eqqumiitsuliortulerisimasarnertulli	eqqumiitsuliortoq-LIRI+SIMA=TAR+NIQ<ental<Aequalis+LI
eqqumiitsuliortulerissagaluarpugut	eqqumiitsuliortoq-LIRI-SSA=GALUAR<Indikativ<vi
eqqumiitsuliortulerissavit	eqqumiitsuliortoq-LIRI-SSA<Interrogativ<du
eqqumiitsuliortulerisassagaluarneq	eqqumiitsuliortoq-LIRI+TAR=SSA=GALUAR+NIQ<ental<Absolut
eqqumiitsuliortulerisassanertut	eqqumiitsuliortoq-LIRI+TAR=SSA+NIQ<ental<Aequalis
eqqumiitsuliortormiumulli	eqqumiitsuliortoq+MIU<ental<Terminalis+LI
eqqumiitsuliortormiunik	eqqumiitsuliortoq+MIU<flertal<Instrumentalis
eqqumiitsuliortormiunili	eqqumiitsuliortoq+MIU<flertal<Lokalis+LI
eqqumiitsuliortormiunngortungali	eqqumiitsuliortoq+MIU-NNGUR<Participium<jeg+LI
eqqumiitsuliortormiunngussagaluarpugut	eqqumiitsuliortoq+MIU-NNGUR-SSA=GALUAR<Indikativ<vi
eqqumiitsuliortormioqarporli	eqqumiitsuliortoq+MIU-QAR<Indikativ<han+LI
eqqumiitsuliortormioqarneq	eqqumiitsuliortoq+MIU-QAR+NIQ
eqqumiitsuliortormioqarnerlu	eqqumiitsuliortoq+MIU-QAR+NIQ+LU
eqqumiitsuliortormiuuit	eqqumiitsuliortoq+MIU-U<Interrogativ<du
eqqumiitsuliortormiuusimasunga	eqqumiitsuliortoq+MIU-U+SIMA<Participium<jeg
eqqumiitsuliortormiuusaraluarnerallu	eqqumiitsuliortoq+MIU-U+TAR=GALUAR+NIQ<ental<deres<Absolut+LU
eqqumiitsuliortormiuusartungalu	eqqumiitsuliortoq+MIU-U+TAR<Participium<jeg+LU
eqqumiitsuliortunngortunga	eqqumiitsuliortoq-NNGUR<Participium<jeg
eqqumiitsuliortunngorsimasunga	eqqumiitsuliortoq-NNGUR+SIMA<Participium<jeg
eqqumiitsuliortunngussagaluarpungali	eqqumiitsuliortoq-NNGUR-SSA=GALUAR<Indikativ<jeg+LI
eqqumiitsuliortunngussagaluarpit	eqqumiitsuliortoq-NNGUR-SSA=GALUAR<Interrogativ<du
eqqumiitsuliortunngussagaluartunga	eqqumiitsuliortoq-NNGUR-SSA=GALUAR<Participium<jeg
eqqumiitsuliortunngussanernik	eqqumiitsuliortoq-NNGUR-SSA+NIQ<flertal<Instrumentalis
eqqumiitsuliortunngortaraluarpit	eqqumiitsuliortoq-NNGUR+TAR=GALUAR<Interrogativ<du
eqqumiitsuliortunngortassagaluarporli	eqqumiitsuliortoq-NNGUR+TAR=SSA=GALUAR<Indikativ<han+LI
eqqumiitsuliortunngortassavunga	eqqumiitsuliortoq-NNGUR+TAR=SSA<Indikativ<jeg
eqqumiitsuliortorpassuit	eqqumiitsuliortoq+PASSUAQ<flertal<Absolut
eqqumiitsuliortorpassuilli	eqqumiitsuliortoq+PASSUAQ<flertal<Absolut+LI
eqqumiitsuliortorpassuarnik	eqqumiitsuliortoq+PASSUAQ<flertal<Instrumentalis
eqqumiitsuliortorpassuarnillu	eqqumiitsuliortoq+PASSUAQ<flertal<Instrumentalis+LU
eqqumiitsuliortorpassuarni	eqqumiitsuliortoq+PASSUAQ<flertal<Lokalis
