aallariartorpoq	aallar+GIARTUR<Indikativ<han
mittarfimmukarpisi	mittarfik<ental<Terminalis-KAR<Interrogativ<I
mittarfimmukalerpoq	mittarfik<ental<Terminalis-KAR-LIR<Indikativ<han
mittarfimmukalerpisi	mittarfik<ental<Terminalis-KAR-LIR<Interrogativ<I
mittarfimmukalertoq	mittarfik<ental<Terminalis-KAR-LIR+TUQ<ental<Absolut
mittarfimmukartoq	mittarfik<ental<Terminalis-KAR+TUQ<ental<Absolut
mittarfikka	mittarfik<flertal<min<Absolut
mittarfinnut	mittarfik<flertal<Terminalis
mittarfinnukariartorpoq	mittarfik<flertal<Terminalis-KAR+GIARTUR<Indikativ<han
mittarfinnukariartorpisi	mittarfik<flertal<Terminalis-KAR+GIARTUR<Interrogativ<I
mittarfinnukariartortoq	mittarfik<flertal<Terminalis-KAR+GIARTUR+TUQ<ental<Absolut
mittarfinnukarpoq	mittarfik<flertal<Terminalis-KAR<Indikativ<han
mittarfinnukarpisi	mittarfik<flertal<Terminalis-KAR<Interrogativ<I
mittarfinnukalerpoq	mittarfik<flertal<Terminalis-KAR-LIR<Indikativ<han
mittarfinnukalerpisi	mittarfik<flertal<Terminalis-KAR-LIR<Interrogativ<I
mittarfinnukalertoq	mittarfik<flertal<Terminalis-KAR-LIR+TUQ<ental<Absolut
mittarfinnukartoq	mittarfik<flertal<Terminalis-KAR+TUQ<ental<Absolut
mittarfinnguaq	mittarfik-NNGUAQ<ental<Absolut
mittarfinnguamut	mittarfik-NNGUAQ<ental<Terminalis
mittarfinnguamukarpoq	mittarfik-NNGUAQ<ental<Terminalis-KAR<Indikativ<han
mittarfinnguamukarpisi	mittarfik-NNGUAQ<ental<Terminalis-KAR<Interrogativ<I
mittarfinnguamukalerpoq	mittarfik-NNGUAQ<ental<Terminalis-KAR-LIR<Indikativ<han
mittarfinnguamukalerpisi	mittarfik-NNGUAQ<ental<Terminalis-KAR-LIR<Interrogativ<I
mittarfinnguamukartoq	mittarfik-NNGUAQ<ental<Terminalis-KAR+TUQ<ental<Absolut
mittarfinnguakka	mittarfik-NNGUAQ<flertal<min<Absolut
oqaluttuarisaaneq	oqaluttuarisaaneq<ental<Absolut
