TA+una+Gram/Dem+Pron+Abs+Sg	taanna
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg	utoqqatserusuppoq
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI	utoqqatserusupporli
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU	utoqqatserusupporlu
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg	utoqqatserusuppunga
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LI	utoqqatserusuppungali
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LU	utoqqatserusuppungalu
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg	utoqqatserusunngilaq
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI	utoqqatserusunngilarli
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU	utoqqatserusunngilarlu
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg	utoqqatserusunngilanga
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LI	utoqqatserusunngilangali
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LU	utoqqatserusunngilangalu
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LI	utoqqatserusunngilatilli
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LU	utoqqatserusunngilatillu
utoqqatser+Sem/speak_emot+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg	utoqqatserusunngilatit
utoqqatser+Sem/speak_emot+V+Ind+1Sg	utoqqatserpunga
utoqqatser+Sem/speak_emot+V+Ind+1Sg+LI	utoqqatserpungali
utoqqatser+Sem/speak_emot+V+Ind+1Sg+LU	utoqqatserpungalu
