TA+una+Gram/Dem+Pron+Abs+Sg	taanna
Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LI	Nanortalimmioorusuppilli
Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LU	Nanortalimmioorusuppillu
Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg	Nanortalimmioorusuppit
Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg	Nanortalimmioorusuppoq
Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI	Nanortalimmioorusupporli
Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU	Nanortalimmioorusupporlu
Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg	Nanortalimmioorusuppunga
Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LI	Nanortalimmioorusuppungali
Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LU	Nanortalimmioorusuppungalu
Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg	Nanortalimmioorusunngilaq
Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI	Nanortalimmioorusunngilarli
Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU	Nanortalimmioorusunngilarlu
Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg	Nanortalimmioorusunngilanga
Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LI	Nanortalimmioorusunngilangali
Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LU	Nanortalimmioorusunngilangalu
Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LI	Nanortalimmioorusunngilatilli
Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LU	Nanortalimmioorusunngilatillu
Nanortalik+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg	Nanortalimmioorusunngilatit
Nanortalik+Sem/Geo+Prop+Abl+Sg	Nanortalimmit
Nanortalik+Sem/Geo+Prop+Lok+Sg	Nanortalimmi
Nanortalik+Sem/Geo+Prop+Lok+Sg+LI	Nanortalimmili
Nanortalik+Sem/Geo+Prop+Lok+Sg+LU	Nanortalimmilu
Nanortalik+Sem/Geo+Prop+Trm+Sg+LI	Nanortalimmulli
Nanortalik+Sem/Geo+Prop+Trm+Sg+LU	Nanortalimmullu
Nanortalik+Sem/Geo+Prop+Trm+Sg	Nanortalimmut
Nanortalik+Sem/Geo+Prop+Abs+Sg+LI	Nanortalilli
Nanortalik+Sem/Geo+Prop+Abs+Sg+LU	Nanortalillu
Nanortalik+Sem/Geo+Prop+U+Sem/be_copula+V+Ind+3Sg	Nanortaliuvoq
Nanortalik+Sem/Geo+Prop+U+Sem/be_copula+V+Ind+3Sg+LI	Nanortaliuvorli
Nanortalik+Sem/Geo+Prop+U+Sem/be_copula+V+Ind+3Sg+LU	Nanortaliuvorlu
Nanortalik+Sem/Geo+Prop+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg	Nanortaliunngilaq
Nanortalik+Sem/Geo+Prop+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LI	Nanortaliunngilarli
Nanortalik+Sem/Geo+Prop+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LU	Nanortaliunngilarlu
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+V+Int+2Sg+LI	Naalakkersuisuussavilli
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+V+Int+2Sg+LU	Naalakkersuisuussavillu
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+V+Int+2Sg	Naalakkersuisuussavit
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg	Naalakkersuisuussaaq
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg+LI	Naalakkersuisuussaarli
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg+LU	Naalakkersuisuussaarlu
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg	Naalakkersuisuussaanga
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg+LI	Naalakkersuisuussaangali
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg+LU	Naalakkersuisuussaangalu
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+Abl+Pl+LI	Naalakkersuisunilli
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+Abl+Pl+LU	Naalakkersuisunillu
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+Abl+Pl	Naalakkersuisunit
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+Lok+Pl	Naalakkersuisuni
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+Lok+Pl+LI	Naalakkersuisunili
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+Lok+Pl+LU	Naalakkersuisunilu
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+Ins+Pl	Naalakkersuisuni
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+Ins+Pl+LI	Naalakkersuisunili
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+Ins+Pl+LU	Naalakkersuisunilu
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+Trm+Pl+LI	Naalakkersuisunulli
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+Trm+Pl+LU	Naalakkersuisunullu
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+Trm+Pl	Naalakkersuisunut
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LI	Naalakkersuisoorusussavilli
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LU	Naalakkersuisoorusussavillu
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg	Naalakkersuisoorusussavit
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg	Naalakkersuisoorusussaaq
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI	Naalakkersuisoorusussaarli
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU	Naalakkersuisoorusussaarlu
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg	Naalakkersuisoorusussaanga
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LI	Naalakkersuisoorusussaangali
Naalakkersuisut+Sem/inst+Sem/Hum+Prop+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LU	Naalakkersuisoorusussaangalu
Maniitsoq+Sem/Geo+Prop+Ins+Sg	Maniitsumik
Maniitsoq+Sem/Geo+Prop+Ins+Sg+LI	Maniitsumilli
Maniitsoq+Sem/Geo+Prop+Ins+Sg+LU	Maniitsumillu
Maniitsoq+Sem/Geo+Prop+Abl+Sg+LI	Maniitsumilli
Maniitsoq+Sem/Geo+Prop+Abl+Sg+LU	Maniitsumillu
Maniitsoq+Sem/Geo+Prop+Abl+Sg	Maniitsumit
Maniitsoq+Sem/Geo+Prop+Lok+Sg	Maniitsumi
Maniitsoq+Sem/Geo+Prop+Lok+Sg+LI	Maniitsumili
Maniitsoq+Sem/Geo+Prop+Lok+Sg+LU	Maniitsumilu
Maniitsoq+Sem/Geo+Prop+Trm+Sg+LI	Maniitsumulli
Maniitsoq+Sem/Geo+Prop+Trm+Sg+LU	Maniitsumullu
Maniitsoq+Sem/Geo+Prop+Trm+Sg	Maniitsumut
Maniitsoq+Sem/Geo+Prop+U+Sem/be_copula+V+Ind+3Sg	Maniitsuuvoq
Maniitsoq+Sem/Geo+Prop+U+Sem/be_copula+V+Ind+3Sg+LI	Maniitsuuvorli
Maniitsoq+Sem/Geo+Prop+U+Sem/be_copula+V+Ind+3Sg+LU	Maniitsuuvorlu
Maniitsoq+Sem/Geo+Prop+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg	Maniitsuunngilaq
Maniitsoq+Sem/Geo+Prop+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LI	Maniitsuunngilarli
Maniitsoq+Sem/Geo+Prop+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LU	Maniitsuunngilarlu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+1Sg	Maniitsormiuuvunga
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+1Sg+LI	Maniitsormiuuvungali
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+1Sg+LU	Maniitsormiuuvungalu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+3Sg	Maniitsormiuuvoq
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+3Sg+LI	Maniitsormiuuvorli
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Ind+3Sg+LU	Maniitsormiuuvorlu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Int+2Sg+LI	Maniitsormiuussavilli
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Int+2Sg+LU	Maniitsormiuussavillu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Int+2Sg	Maniitsormiuussavit
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg	Maniitsormiuussanngilaq
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI	Maniitsormiuussanngilarli
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU	Maniitsormiuussanngilarlu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+1Sg	Maniitsormiuussanngilanga
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LI	Maniitsormiuussanngilangali
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LU	Maniitsormiuussanngilangalu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Int+2Sg+LI	Maniitsormiuussanngilatilli
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Int+2Sg+LU	Maniitsormiuussanngilatillu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Int+2Sg	Maniitsormiuussanngilatit
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg	Maniitsormiuussaaq
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg+LI	Maniitsormiuussaarli
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg+LU	Maniitsormiuussaarlu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg	Maniitsormiuussaanga
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg+LI	Maniitsormiuussaangali
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+SSA+V+Ind+1Sg+LU	Maniitsormiuussaangalu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Int+2Sg+LI	Maniitsormiuuilli
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Int+2Sg+LU	Maniitsormiuuillu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+V+Int+2Sg	Maniitsormiuuit
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg	Maniitsormiuunngilaq
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LI	Maniitsormiuunngilarli
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LU	Maniitsormiuunngilarlu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+1Sg	Maniitsormiuunngilanga
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+1Sg+LI	Maniitsormiuunngilangali
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+1Sg+LU	Maniitsormiuunngilangalu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Int+2Sg+LI	Maniitsormiuunngilatilli
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Int+2Sg+LU	Maniitsormiuunngilatillu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+NNGIT+V+Int+2Sg	Maniitsormiuunngilatit
Maniitsoq+Sem/Geo+Prop+MIU+N+Ins+Sg	Maniitsormiumik
Maniitsoq+Sem/Geo+Prop+MIU+N+Ins+Sg+LI	Maniitsormiumilli
Maniitsoq+Sem/Geo+Prop+MIU+N+Ins+Sg+LU	Maniitsormiumillu
Maniitsoq+Sem/Geo+Prop+MIU+N+Abl+Sg+LI	Maniitsormiumilli
Maniitsoq+Sem/Geo+Prop+MIU+N+Abl+Sg+LU	Maniitsormiumillu
Maniitsoq+Sem/Geo+Prop+MIU+N+Abl+Sg	Maniitsormiumit
Maniitsoq+Sem/Geo+Prop+MIU+N+Lok+Sg	Maniitsormiumi
Maniitsoq+Sem/Geo+Prop+MIU+N+Lok+Sg+LI	Maniitsormiumili
Maniitsoq+Sem/Geo+Prop+MIU+N+Lok+Sg+LU	Maniitsormiumilu
Maniitsoq+Sem/Geo+Prop+MIU+N+Trm+Sg+LI	Maniitsormiumulli
Maniitsoq+Sem/Geo+Prop+MIU+N+Trm+Sg+LU	Maniitsormiumullu
Maniitsoq+Sem/Geo+Prop+MIU+N+Trm+Sg	Maniitsormiumut
Maniitsoq+Sem/Geo+Prop+MIU+N+Abs+Sg+1SgPoss	Maniitsormiuga
Maniitsoq+Sem/Geo+Prop+MIU+N+Abs+Sg+1SgPoss+LI	Maniitsormiugali
Maniitsoq+Sem/Geo+Prop+MIU+N+Abs+Sg+1SgPoss+LU	Maniitsormiugalu
Maniitsoq+Sem/Geo+Prop+MIU+N+Abs+Sg	Maniitsormiu
Maniitsoq+Sem/Geo+Prop+MIU+N+Abs+Sg+LI	Maniitsormiuli
Maniitsoq+Sem/Geo+Prop+MIU+N+Abs+Sg+LU	Maniitsormiulu
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Ind+3Sg	Maniitsormioqarpoq
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Ind+3Sg+LI	Maniitsormioqarporli
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+V+Ind+3Sg+LU	Maniitsormioqarporlu
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg	Maniitsormioqarusussanngilaq
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI	Maniitsormioqarusussanngilarli
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU	Maniitsormioqarusussanngilarlu
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg	Maniitsormioqarusussaaq
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI	Maniitsormioqarusussaarli
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU	Maniitsormioqarusussaarlu
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg	Maniitsormioqarusuppoq
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI	Maniitsormioqarusupporli
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU	Maniitsormioqarusupporlu
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg	Maniitsormioqarusunngilaq
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI	Maniitsormioqarusunngilarli
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU	Maniitsormioqarusunngilarlu
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg	Maniitsormioqassanngilaq
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI	Maniitsormioqassanngilarli
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU	Maniitsormioqassanngilarlu
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg	Maniitsormioqassaaq
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg+LI	Maniitsormioqassaarli
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+SSA+V+Ind+3Sg+LU	Maniitsormioqassaarlu
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+3Sg	Maniitsormioqanngilaq
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+3Sg+LI	Maniitsormioqanngilarli
Maniitsoq+Sem/Geo+Prop+MIU+QAR+Sem/have+Gram/IV+NNGIT+V+Ind+3Sg+LU	Maniitsormioqanngilarlu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LI	Maniitsormioorusussavilli
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LU	Maniitsormioorusussavillu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg	Maniitsormioorusussavit
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg	Maniitsormioorusussanngilaq
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI	Maniitsormioorusussanngilarli
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU	Maniitsormioorusussanngilarlu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg	Maniitsormioorusussanngilanga
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LI	Maniitsormioorusussanngilangali
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LU	Maniitsormioorusussanngilangalu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LI	Maniitsormioorusussanngilatilli
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LU	Maniitsormioorusussanngilatillu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg	Maniitsormioorusussanngilatit
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg	Maniitsormioorusussaaq
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI	Maniitsormioorusussaarli
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU	Maniitsormioorusussaarlu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg	Maniitsormioorusussaanga
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LI	Maniitsormioorusussaangali
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LU	Maniitsormioorusussaangalu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LI	Maniitsormioorusuppilli
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LU	Maniitsormioorusuppillu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg	Maniitsormioorusuppit
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg	Maniitsormioorusuppoq
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI	Maniitsormioorusupporli
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU	Maniitsormioorusupporlu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg	Maniitsormioorusuppunga
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LI	Maniitsormioorusuppungali
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LU	Maniitsormioorusuppungalu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg	Maniitsormioorusunngilaq
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI	Maniitsormioorusunngilarli
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU	Maniitsormioorusunngilarlu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg	Maniitsormioorusunngilanga
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LI	Maniitsormioorusunngilangali
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LU	Maniitsormioorusunngilangalu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LI	Maniitsormioorusunngilatilli
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LU	Maniitsormioorusunngilatillu
Maniitsoq+Sem/Geo+Prop+MIU+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg	Maniitsormioorusunngilatit
Maniitsoq+Sem/Geo+Prop+Abs+Sg+LI	Maniitsorli
Maniitsoq+Sem/Geo+Prop+Abs+Sg+LU	Maniitsorlu
Maniitsoq+Sem/Geo+Prop+Abs+Sg	Maniitsoq
Malik+Sem/Mask+Sem/Hum+Prop+Ins+Sg	Malimmik
Malik+Sem/Mask+Sem/Hum+Prop+Ins+Sg+LI	Malimmilli
Malik+Sem/Mask+Sem/Hum+Prop+Ins+Sg+LU	Malimmillu
