Aasiaat+Sem/Geo+Prop+Abl+Pl	Aasiannit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TAR+NNGIT+V+Ind+1Pl	Aasiammiuusanngilagut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TAR+NNGIT+V+Ind+1Sg	Aasiammiuusanngilanga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TAR+NNGIT+V+Ind+3Sg	Aasiammiuusanngilaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TAR+NNGIT+V+Int+2Sg	Aasiammiuusanngilatit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TAR+V+Ind+1Pl	Aasiammiuusarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TAR+V+Ind+1Sg	Aasiammiuusarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TAR+V+Ind+3Sg	Aasiammiuusarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TAR+V+Int+2Sg	Aasiammiuusarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+GALUAR+V+Ind+1Pl	Aasiammiuusariaqaraluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+GALUAR+V+Ind+1Sg	Aasiammiuusariaqaraluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+GALUAR+V+Ind+3Sg	Aasiammiuusariaqaraluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+GALUAR+V+Int+2Sg	Aasiammiuusariaqaraluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+NNGIT+GALUAR+V+Ind+1Pl	Aasiammiuusariaqanngikkaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+NNGIT+GALUAR+V+Ind+1Sg	Aasiammiuusariaqanngikkaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+NNGIT+GALUAR+V+Ind+3Sg	Aasiammiuusariaqanngikkaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+NNGIT+GALUAR+V+Int+2Sg	Aasiammiuusariaqanngikkaluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+NNGIT+V+Ind+1Pl	Aasiammiuusariaqanngilagut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+NNGIT+V+Ind+1Sg	Aasiammiuusariaqanngilanga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+NNGIT+V+Ind+3Sg	Aasiammiuusariaqanngilaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+NNGIT+V+Int+2Sg	Aasiammiuusariaqanngilatit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+TAR+GALUAR+V+Ind+1Pl	Aasiammiuusariaqartaraluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+TAR+GALUAR+V+Ind+1Sg	Aasiammiuusariaqartaraluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+TAR+GALUAR+V+Ind+3Sg	Aasiammiuusariaqartaraluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+TAR+GALUAR+V+Int+2Sg	Aasiammiuusariaqartaraluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+TAR+NNGIT+GALUAR+V+Ind+1Pl	Aasiammiuusariaqartanngikkaluarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+TAR+NNGIT+GALUAR+V+Ind+1Sg	Aasiammiuusariaqartanngikkaluarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+TAR+NNGIT+GALUAR+V+Ind+3Sg	Aasiammiuusariaqartanngikkaluarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+TAR+NNGIT+GALUAR+V+Int+2Sg	Aasiammiuusariaqartanngikkaluarpit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+TAR+NNGIT+V+Ind+1Pl	Aasiammiuusariaqartanngilagut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+TAR+NNGIT+V+Ind+1Sg	Aasiammiuusariaqartanngilanga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+TAR+NNGIT+V+Ind+3Sg	Aasiammiuusariaqartanngilaq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+TAR+NNGIT+V+Int+2Sg	Aasiammiuusariaqartanngilatit
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+TAR+V+Ind+1Pl	Aasiammiuusariaqartarpugut
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+TAR+V+Ind+1Sg	Aasiammiuusariaqartarpunga
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+TAR+V+Ind+3Sg	Aasiammiuusariaqartarpoq
Aasiaat+Sem/Geo+Prop+MIU+Sem/Hnat+U+Sem/be_copula+TARIAQAR+TAR+V+Int+2Sg	Aasiammiuusariaqartarpit
