taanna	TA+una+Gram/Dem+Pron+Abs+Sg
teeqarusuppungali	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LI
teeqarusuppungalu	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LU
teeqarusunngilaq	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg
teeqarusunngilarli	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI
teeqarusunngilarlu	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU
teeqarusunngilanga	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg
teeqarusunngilangali	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LI
teeqarusunngilangalu	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LU
teeqarusunngilatilli	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LI
teeqarusunngilatillu	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LU
teeqarusunngilatit	tii+Sem/drink+QAR+Sem/have+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg
teeqarpunga	tii+Sem/drink+QAR+Sem/have+V+Ind+1Sg
teeqarpungali	tii+Sem/drink+QAR+Sem/have+V+Ind+1Sg+LI
teeqarpungalu	tii+Sem/drink+QAR+Sem/have+V+Ind+1Sg+LU
teeqassavilli	tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+V+Int+2Sg+LI
teeqassavillu	tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+V+Int+2Sg+LU
teeqassavit	tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+V+Int+2Sg
teeqassanngilaq	tii+Sem/drink+QAR+Sem/have+Gram/IV+SSA+NNGIT+V+Ind+3Sg
