taanna	TA+una+Gram/Dem+Pron+Abs+Sg
tikikkusussavilli	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LI
tikikkusussavillu	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LU
tikikkusussavit	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg
tikikkusussanngilaq	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg
tikikkusussanngilarli	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI
tikikkusussanngilarlu	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU
tikikkusussanngilanga	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg
tikikkusussanngilangali	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LI
tikikkusussanngilangalu	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LU
tikikkusussanngilatilli	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LI
tikikkusussanngilatillu	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LU
tikikkusussanngilatit	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg
tikikkusussaaq	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg
tikikkusussaarli	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI
tikikkusussaarlu	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU
tikikkusussaanga	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg
tikikkusussaangali	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LI
tikikkusussaangalu	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LU
tikikkusuppilli	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LI
tikikkusuppillu	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LU
tikikkusuppit	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg
tikikkusuppoq	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg
tikikkusupporli	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI
tikikkusupporlu	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU
tikikkusuppunga	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg
tikikkusuppungali	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LI
tikikkusuppungalu	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LU
tikikkusunngilaq	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg
tikikkusunngilarli	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI
tikikkusunngilarlu	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU
tikikkusunngilanga	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg
tikikkusunngilangali	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LI
tikikkusunngilangalu	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LU
tikikkusunngilatilli	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LI
tikikkusunngilatillu	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LU
tikikkusunngilatit	tikip+Sem/reach+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg
tikippilli	tikip+Sem/reach+V+Int+2Sg+LI
tikippillu	tikip+Sem/reach+V+Int+2Sg+LU
tikippit	tikip+Sem/reach+V+Int+2Sg
tikippunga	tikip+Sem/reach+V+Ind+1Sg
tikippungali	tikip+Sem/reach+V+Ind+1Sg+LI
tikippungalu	tikip+Sem/reach+V+Ind+1Sg+LU
tikippoq	tikip+Sem/reach+V+Ind+3Sg
tikipporli	tikip+Sem/reach+V+Ind+3Sg+LI
tikipporlu	tikip+Sem/reach+V+Ind+3Sg+LU
tikissavilli	tikip+Sem/reach+Gram/IV+SSA+V+Int+2Sg+LI
tikissavillu	tikip+Sem/reach+Gram/IV+SSA+V+Int+2Sg+LU
tikissavit	tikip+Sem/reach+Gram/IV+SSA+V+Int+2Sg
tikissanngilaq	tikip+Sem/reach+Gram/IV+SSA+NNGIT+V+Ind+3Sg
tikissanngilarli	tikip+Sem/reach+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI
tikissanngilarlu	tikip+Sem/reach+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU
tikissanngilanga	tikip+Sem/reach+Gram/IV+SSA+NNGIT+V+Ind+1Sg
tikissanngilangali	tikip+Sem/reach+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LI
tikissanngilangalu	tikip+Sem/reach+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LU
tikissanngilatilli	tikip+Sem/reach+Gram/IV+SSA+NNGIT+V+Int+2Sg+LI
tikissanngilatillu	tikip+Sem/reach+Gram/IV+SSA+NNGIT+V+Int+2Sg+LU
tikissanngilatit	tikip+Sem/reach+Gram/IV+SSA+NNGIT+V+Int+2Sg
tikissaaq	tikip+Sem/reach+Gram/IV+SSA+V+Ind+3Sg
tikissaarli	tikip+Sem/reach+Gram/IV+SSA+V+Ind+3Sg+LI
tikissaarlu	tikip+Sem/reach+Gram/IV+SSA+V+Ind+3Sg+LU
tikissaanga	tikip+Sem/reach+Gram/IV+SSA+V+Ind+1Sg
tikissaangali	tikip+Sem/reach+Gram/IV+SSA+V+Ind+1Sg+LI
tikissaangalu	tikip+Sem/reach+Gram/IV+SSA+V+Ind+1Sg+LU
tikinngilaq	tikip+Sem/reach+Gram/IV+NNGIT+V+Ind+3Sg
tikinngilarli	tikip+Sem/reach+Gram/IV+NNGIT+V+Ind+3Sg+LI
tikinngilarlu	tikip+Sem/reach+Gram/IV+NNGIT+V+Ind+3Sg+LU
tikinngilanga	tikip+Sem/reach+Gram/IV+NNGIT+V+Ind+1Sg
tikinngilangali	tikip+Sem/reach+Gram/IV+NNGIT+V+Ind+1Sg+LI
tikinngilangalu	tikip+Sem/reach+Gram/IV+NNGIT+V+Ind+1Sg+LU
tikinngilatilli	tikip+Sem/reach+Gram/IV+NNGIT+V+Int+2Sg+LI
tikinngilatillu	tikip+Sem/reach+Gram/IV+NNGIT+V+Int+2Sg+LU
tikinngilatit	tikip+Sem/reach+Gram/IV+NNGIT+V+Int+2Sg
tiiuvoq	tii+Sem/drink+U+Sem/be_copula+V+Ind+3Sg
tiiuvorli	tii+Sem/drink+U+Sem/be_copula+V+Ind+3Sg+LI
tiiuvorlu	tii+Sem/drink+U+Sem/be_copula+V+Ind+3Sg+LU
tiiussanngilaq	tii+Sem/drink+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg
tiiussanngilarli	tii+Sem/drink+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI
tiiussanngilarlu	tii+Sem/drink+U+Sem/be_copula+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU
tiiussaaq	tii+Sem/drink+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg
tiiussaarli	tii+Sem/drink+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg+LI
tiiussaarlu	tii+Sem/drink+U+Sem/be_copula+Gram/IV+SSA+V+Ind+3Sg+LU
tiiunngilaq	tii+Sem/drink+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg
tiiunngilarli	tii+Sem/drink+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LI
tiiunngilarlu	tii+Sem/drink+U+Sem/be_copula+Gram/IV+NNGIT+V+Ind+3Sg+LU
tiiorusussanngilaq	tii+Sem/drink+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg
tiiorusussanngilarli	tii+Sem/drink+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI
tiiorusussanngilarlu	tii+Sem/drink+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU
tiiorusussaaq	tii+Sem/drink+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg
tiiorusussaarli	tii+Sem/drink+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI
tiiorusussaarlu	tii+Sem/drink+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU
tiiorusuppoq	tii+Sem/drink+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg
tiiorusupporli	tii+Sem/drink+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI
tiiorusupporlu	tii+Sem/drink+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU
tiiorusunngilaq	tii+Sem/drink+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg
tiiorusunngilarli	tii+Sem/drink+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI
tiiorusunngilarlu	tii+Sem/drink+U+Sem/be_copula+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU
tiitussavilli	tii+Sem/drink+TUR+Gram/IV+SSA+V+Int+2Sg+LI
tiitussavillu	tii+Sem/drink+TUR+Gram/IV+SSA+V+Int+2Sg+LU
tiitussavit	tii+Sem/drink+TUR+Gram/IV+SSA+V+Int+2Sg
tiitussanngilaq	tii+Sem/drink+TUR+Gram/IV+SSA+NNGIT+V+Ind+3Sg
tiitussanngilarli	tii+Sem/drink+TUR+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LI
tiitussanngilarlu	tii+Sem/drink+TUR+Gram/IV+SSA+NNGIT+V+Ind+3Sg+LU
tiitussanngilanga	tii+Sem/drink+TUR+Gram/IV+SSA+NNGIT+V+Ind+1Sg
tiitussanngilangali	tii+Sem/drink+TUR+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LI
tiitussanngilangalu	tii+Sem/drink+TUR+Gram/IV+SSA+NNGIT+V+Ind+1Sg+LU
tiitussanngilatilli	tii+Sem/drink+TUR+Gram/IV+SSA+NNGIT+V+Int+2Sg+LI
tiitussanngilatillu	tii+Sem/drink+TUR+Gram/IV+SSA+NNGIT+V+Int+2Sg+LU
tiitussanngilatit	tii+Sem/drink+TUR+Gram/IV+SSA+NNGIT+V+Int+2Sg
tiitussaaq	tii+Sem/drink+TUR+Gram/IV+SSA+V+Ind+3Sg
tiitussaarli	tii+Sem/drink+TUR+Gram/IV+SSA+V+Ind+3Sg+LI
tiitussaarlu	tii+Sem/drink+TUR+Gram/IV+SSA+V+Ind+3Sg+LU
tiitussaanga	tii+Sem/drink+TUR+Gram/IV+SSA+V+Ind+1Sg
tiitussaangali	tii+Sem/drink+TUR+Gram/IV+SSA+V+Ind+1Sg+LI
tiitussaangalu	tii+Sem/drink+TUR+Gram/IV+SSA+V+Ind+1Sg+LU
tiitunngilaq	tii+Sem/drink+TUR+Gram/IV+NNGIT+V+Ind+3Sg
tiitunngilarli	tii+Sem/drink+TUR+Gram/IV+NNGIT+V+Ind+3Sg+LI
tiitunngilarlu	tii+Sem/drink+TUR+Gram/IV+NNGIT+V+Ind+3Sg+LU
tiitunngilanga	tii+Sem/drink+TUR+Gram/IV+NNGIT+V+Ind+1Sg
tiitunngilangali	tii+Sem/drink+TUR+Gram/IV+NNGIT+V+Ind+1Sg+LI
tiitunngilangalu	tii+Sem/drink+TUR+Gram/IV+NNGIT+V+Ind+1Sg+LU
tiitunngilatilli	tii+Sem/drink+TUR+Gram/IV+NNGIT+V+Int+2Sg+LI
tiitunngilatillu	tii+Sem/drink+TUR+Gram/IV+NNGIT+V+Int+2Sg+LU
tiitunngilatit	tii+Sem/drink+TUR+Gram/IV+NNGIT+V+Int+2Sg
tiitorpilli	tii+Sem/drink+TUR+V+Int+2Sg+LI
tiitorpillu	tii+Sem/drink+TUR+V+Int+2Sg+LU
tiitorpit	tii+Sem/drink+TUR+V+Int+2Sg
tiitorpoq	tii+Sem/drink+TUR+V+Ind+3Sg
tiitorporli	tii+Sem/drink+TUR+V+Ind+3Sg+LI
tiitorporlu	tii+Sem/drink+TUR+V+Ind+3Sg+LU
tiitorusussavilli	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LI
tiitorusussavillu	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LU
tiitorusussavit	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg
tiitorusussanngilaq	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg
tiitorusussanngilarli	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI
tiitorusussanngilarlu	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LU
tiitorusussanngilanga	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg
tiitorusussanngilangali	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LI
tiitorusussanngilangalu	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+1Sg+LU
tiitorusussanngilatilli	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LI
tiitorusussanngilatillu	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg+LU
tiitorusussanngilatit	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Int+2Sg
tiitorusussaaq	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg
tiitorusussaarli	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LI
tiitorusussaarlu	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+3Sg+LU
tiitorusussaanga	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg
tiitorusussaangali	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LI
tiitorusussaangalu	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+LU
tiitorusuppilli	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LI
tiitorusuppillu	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg+LU
tiitorusuppit	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+V+Int+2Sg
tiitorusuppoq	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg
tiitorusupporli	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LI
tiitorusupporlu	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+V+Ind+3Sg+LU
tiitorusuppunga	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg
tiitorusuppungali	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LI
tiitorusuppungalu	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+V+Ind+1Sg+LU
tiitorusunngilaq	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg
tiitorusunngilarli	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LI
tiitorusunngilarlu	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+3Sg+LU
tiitorusunngilanga	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg
tiitorusunngilangali	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LI
tiitorusunngilangalu	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Ind+1Sg+LU
tiitorusunngilatilli	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LI
tiitorusunngilatillu	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg+LU
tiitorusunngilatit	tii+Sem/drink+TUR+Gram/IV+GUSUP+Sem/wish+NNGIT+V+Int+2Sg
tiitorpunga	tii+Sem/drink+TUR+V+Ind+1Sg
tiitorpungali	tii+Sem/drink+TUR+V+Ind+1Sg+LI
tiitorpungalu	tii+Sem/drink+TUR+V+Ind+1Sg+LU
tiimik	tii+Sem/drink+N+Ins+Sg
tiimilli	tii+Sem/drink+N+Ins+Sg+LI
tiimillu	tii+Sem/drink+N+Ins+Sg+LU
tiimilli	tii+Sem/drink+N+Abl+Sg+LI
tiimillu	tii+Sem/drink+N+Abl+Sg+LU
tiimit	tii+Sem/drink+N+Abl+Sg
tiimi	tii+Sem/drink+N+Lok+Sg
tiimili	tii+Sem/drink+N+Lok+Sg+LI
tiimilu	tii+Sem/drink+N+Lok+Sg+LU
tiimulli	tii+Sem/drink+N+Trm+Sg+LI
tiimullu	tii+Sem/drink+N+Trm+Sg+LU
tiimut	tii+Sem/drink+N+Trm+Sg
tiiga	tii+Sem/drink+N+Abs+Sg+1SgPoss
tiigali	tii+Sem/drink+N+Abs+Sg+1SgPoss+LI
tiigalu	tii+Sem/drink+N+Abs+Sg+1SgPoss+LU
tii	tii+Sem/drink+N+Abs+Sg
tiili	tii+Sem/drink+N+Abs+Sg+LI
tiilu	tii+Sem/drink+N+Abs+Sg+LU
takorusussaviuk	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+SSA+V+Int+2Sg+3SgO
takorusussaviulli	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+SSA+V+Int+2Sg+3SgO+LI
takorusussaviullu	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+SSA+V+Int+2Sg+3SgO+LU
takorusussavassi	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+2PlO
takorusussavassili	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+2PlO+LI
takorusussavassilu	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+2PlO+LU
takorusussavara	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+3SgO
takorusussavarali	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+3SgO+LI
takorusussavaralu	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+SSA+V+Ind+1Sg+3SgO+LU
takorusussanngiliuk	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+SSA+NNGIT+Gram/TV+V+Int+2Sg+3SgO
takorusussanngiliulli	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+SSA+NNGIT+Gram/TV+V+Int+2Sg+3SgO+LI
takorusussanngiliullu	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+SSA+NNGIT+Gram/TV+V+Int+2Sg+3SgO+LU
takorusussanngilassi	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+SSA+NNGIT+Gram/TV+V+Ind+1Sg+2PlO
takorusussanngilassili	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+SSA+NNGIT+Gram/TV+V+Ind+1Sg+2PlO+LI
takorusussanngilassilu	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+SSA+NNGIT+Gram/TV+V+Ind+1Sg+2PlO+LU
takorusussanngilara	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+SSA+NNGIT+Gram/TV+V+Ind+1Sg+3SgO
takorusussanngilarali	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+SSA+NNGIT+Gram/TV+V+Ind+1Sg+3SgO+LI
takorusussanngilaralu	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+SSA+NNGIT+Gram/TV+V+Ind+1Sg+3SgO+LU
takorusuppiuk	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+V+Int+2Sg+3SgO
takorusuppiulli	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+V+Int+2Sg+3SgO+LI
takorusuppiullu	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+V+Int+2Sg+3SgO+LU
takorusuppassi	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+V+Ind+1Sg+2PlO
takorusuppassili	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+V+Ind+1Sg+2PlO+LI
takorusuppassilu	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+V+Ind+1Sg+2PlO+LU
takorusuppara	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+V+Ind+1Sg+3SgO
takorusupparali	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+V+Ind+1Sg+3SgO+LI
takorusupparalu	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+V+Ind+1Sg+3SgO+LU
takorusunngiliuk	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+NNGIT+Gram/TV+V+Int+2Sg+3SgO
takorusunngiliulli	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+NNGIT+Gram/TV+V+Int+2Sg+3SgO+LI
takorusunngiliullu	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+NNGIT+Gram/TV+V+Int+2Sg+3SgO+LU
takorusunngilassi	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+NNGIT+Gram/TV+V+Ind+1Sg+2PlO
takorusunngilassili	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+NNGIT+Gram/TV+V+Ind+1Sg+2PlO+LI
takorusunngilassilu	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+NNGIT+Gram/TV+V+Ind+1Sg+2PlO+LU
takorusunngilara	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+NNGIT+Gram/TV+V+Ind+1Sg+3SgO
takorusunngilarali	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+NNGIT+Gram/TV+V+Ind+1Sg+3SgO+LI
takorusunngilaralu	taku+Sem/see+Gram/TV+GUSUP+Sem/wish+NNGIT+Gram/TV+V+Ind+1Sg+3SgO+LU
takussaviuk	taku+Sem/see+Gram/TV+SSA+V+Int+2Sg+3SgO
takussaviulli	taku+Sem/see+Gram/TV+SSA+V+Int+2Sg+3SgO+LI
takussaviullu	taku+Sem/see+Gram/TV+SSA+V+Int+2Sg+3SgO+LU
takussavassi	taku+Sem/see+Gram/TV+SSA+V+Ind+1Sg+2PlO
takussavassili	taku+Sem/see+Gram/TV+SSA+V+Ind+1Sg+2PlO+LI
takussavassilu	taku+Sem/see+Gram/TV+SSA+V+Ind+1Sg+2PlO+LU
takussavara	taku+Sem/see+Gram/TV+SSA+V+Ind+1Sg+3SgO
takussavarali	taku+Sem/see+Gram/TV+SSA+V+Ind+1Sg+3SgO+LI
takussavaralu	taku+Sem/see+Gram/TV+SSA+V+Ind+1Sg+3SgO+LU
takussanngiliuk	taku+Sem/see+Gram/TV+SSA+NNGIT+Gram/TV+V+Int+2Sg+3SgO
takussanngiliulli	taku+Sem/see+Gram/TV+SSA+NNGIT+Gram/TV+V+Int+2Sg+3SgO+LI
takussanngiliullu	taku+Sem/see+Gram/TV+SSA+NNGIT+Gram/TV+V+Int+2Sg+3SgO+LU
takussanngilassi	taku+Sem/see+Gram/TV+SSA+NNGIT+Gram/TV+V+Ind+1Sg+2PlO
takussanngilassili	taku+Sem/see+Gram/TV+SSA+NNGIT+Gram/TV+V+Ind+1Sg+2PlO+LI
takussanngilassilu	taku+Sem/see+Gram/TV+SSA+NNGIT+Gram/TV+V+Ind+1Sg+2PlO+LU
takussanngilara	taku+Sem/see+Gram/TV+SSA+NNGIT+Gram/TV+V+Ind+1Sg+3SgO
takussanngilarali	taku+Sem/see+Gram/TV+SSA+NNGIT+Gram/TV+V+Ind+1Sg+3SgO+LI
takussanngilaralu	taku+Sem/see+Gram/TV+SSA+NNGIT+Gram/TV+V+Ind+1Sg+3SgO+LU
takuiuk	taku+Sem/see+Gram/TV+V+Int+2Sg+3SgO
takuiulli	taku+Sem/see+Gram/TV+V+Int+2Sg+3SgO+LI
takuiullu	taku+Sem/see+Gram/TV+V+Int+2Sg+3SgO+LU
takunngiliuk	taku+Sem/see+Gram/TV+NNGIT+Gram/TV+V+Int+2Sg+3SgO
takunngiliulli	taku+Sem/see+Gram/TV+NNGIT+Gram/TV+V+Int+2Sg+3SgO+LI
takunngiliullu	taku+Sem/see+Gram/TV+NNGIT+Gram/TV+V+Int+2Sg+3SgO+LU
takunngilassi	taku+Sem/see+Gram/TV+NNGIT+Gram/TV+V+Ind+1Sg+2PlO
takunngilassili	taku+Sem/see+Gram/TV+NNGIT+Gram/TV+V+Ind+1Sg+2PlO+LI
takunngilassilu	taku+Sem/see+Gram/TV+NNGIT+Gram/TV+V+Ind+1Sg+2PlO+LU
takunngilara	taku+Sem/see+Gram/TV+NNGIT+Gram/TV+V+Ind+1Sg+3SgO
takunngilarali	taku+Sem/see+Gram/TV+NNGIT+Gram/TV+V+Ind+1Sg+3SgO+LI
takunngilaralu	taku+Sem/see+Gram/TV+NNGIT+Gram/TV+V+Ind+1Sg+3SgO+LU
takuassi	taku+Sem/see+Gram/TV+V+Ind+1Sg+2PlO
takuassili	taku+Sem/see+Gram/TV+V+Ind+1Sg+2PlO+LI
takuassilu	taku+Sem/see+Gram/TV+V+Ind+1Sg+2PlO+LU
takuara	taku+Sem/see+Gram/TV+V+Ind+1Sg+3SgO
takuarali	taku+Sem/see+Gram/TV+V+Ind+1Sg+3SgO+LI
takuaralu	taku+Sem/see+Gram/TV+V+Ind+1Sg+3SgO+LU
sulerusussavilli	suli+Sem/work+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LI
sulerusussavillu	suli+Sem/work+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg+LU
sulerusussavit	suli+Sem/work+Gram/IV+GUSUP+Sem/wish+SSA+V+Int+2Sg
sulerusussanngilaq	suli+Sem/work+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg
sulerusussanngilarli	suli+Sem/work+Gram/IV+GUSUP+Sem/wish+SSA+NNGIT+V+Ind+3Sg+LI
